batch_id,product_key,handle,product_id,image_key,position,image_location,image_url_source,local_path,image_sha256,checked_at
B001,chillgen.com::custom-christian-floral-cross-area-rug-non-skid-church-decor,custom-christian-floral-cross-area-rug-non-skid-church-decor,16000581763441,B001-001-IMG01,1,GALLERY,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/fe4b8df6b68701645826335f8f1c527809f85dea1f7d22ad0d2e16d260f73067.jpg?v=1789055900,/Users/buiquanghuy/Documents/seo_chillgen/seo_runs/chillgen.com/chillgen_20260911_01/evidence/images/B001/custom-christian-floral-cross-area-rug-non-skid-church-decor/01_custom-christian-floral-cross-area-rug-non-skid-church-decor.jpg,476236ce1eea918b222735c1800ade632ae6c2d4c93f527c96c7fff2e125fe9b,2026-09-11T07:14:32Z
B001,chillgen.com::custom-christian-floral-cross-area-rug-non-skid-church-decor,custom-christian-floral-cross-area-rug-non-skid-church-decor,16000581763441,B001-001-IMG02,2,GALLERY,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/6f5f706cccf4c9b2f03801ae6f2b0376a768efcfe7feda348b2a89b21e28a380.jpg?v=1789055900,/Users/buiquanghuy/Documents/seo_chillgen/seo_runs/chillgen.com/chillgen_20260911_01/evidence/images/B001/custom-christian-floral-cross-area-rug-non-skid-church-decor/02_custom-christian-floral-cross-area-rug-non-skid-church-decor.jpg,23560f470874ccf89aa06b5c6a4f0df90cd5a65368061e3f509af717d4088f20,2026-09-11T07:14:32Z
B001,chillgen.com::custom-christian-floral-cross-area-rug-non-skid-church-decor,custom-christian-floral-cross-area-rug-non-skid-church-decor,16000581763441,B001-001-IMG03,3,GALLERY,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/b568ebae8a149fa65c6268384e74fc3b70c1a601166af25976a37c64b443e43e.jpg?v=1789055900,/Users/buiquanghuy/Documents/seo_chillgen/seo_runs/chillgen.com/chillgen_20260911_01/evidence/images/B001/custom-christian-floral-cross-area-rug-non-skid-church-decor/03_custom-christian-floral-cross-area-rug-non-skid-church-decor.jpg,65ae73925aa4da3a6e050288c6673bbf7c6a354298d5237f25ed34a4dd4b88cb,2026-09-11T07:14:32Z
B001,chillgen.com::custom-christian-floral-cross-area-rug-non-skid-church-decor,custom-christian-floral-cross-area-rug-non-skid-church-decor,16000581763441,B001-001-IMG04,4,GALLERY,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/91eabc29dba26e9e1a9c85d7907c3e286691a18a1af1069f4ef51bc250e8a1fd.jpg?v=1789055900,/Users/buiquanghuy/Documents/seo_chillgen/seo_runs/chillgen.com/chillgen_20260911_01/evidence/images/B001/custom-christian-floral-cross-area-rug-non-skid-church-decor/04_custom-christian-floral-cross-area-rug-non-skid-church-decor.jpg,d8396fc6e9df387d9a9119bc77e7fc4533dd00180d444254e381307306d80f62,2026-09-11T07:14:32Z
B001,chillgen.com::custom-christian-floral-cross-area-rug-non-skid-church-decor,custom-christian-floral-cross-area-rug-non-skid-church-decor,16000581763441,B001-001-IMG05,5,GALLERY,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/ae9f823edf41e937a07bebeb11207664e923939cfc7c39c3a177092d7ef953a7.jpg?v=1789055900,/Users/buiquanghuy/Documents/seo_chillgen/seo_runs/chillgen.com/chillgen_20260911_01/evidence/images/B001/custom-christian-floral-cross-area-rug-non-skid-church-decor/05_custom-christian-floral-cross-area-rug-non-skid-church-decor.jpg,28d2cfa691350bc40b50ab0226b2df02f89598457ef53aa750a04cb1921f63a8,2026-09-11T07:14:32Z
B001,chillgen.com::custom-christian-floral-cross-area-rug-non-skid-church-decor,custom-christian-floral-cross-area-rug-non-skid-church-decor,16000581763441,B001-001-IMG06,6,GALLERY,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/9f3dccac79c5e6e150f3cfcc681e2437a9466dfe6f8b574508fd49baf17c3cb8.jpg?v=1789055900,/Users/buiquanghuy/Documents/seo_chillgen/seo_runs/chillgen.com/chillgen_20260911_01/evidence/images/B001/custom-christian-floral-cross-area-rug-non-skid-church-decor/06_custom-christian-floral-cross-area-rug-non-skid-church-decor.jpg,0f6554caa48aa4a3bc44071f78432680b718ad1540bc9a7cae38b26b343fca04,2026-09-11T07:14:32Z
B001,chillgen.com::custom-ornate-floral-gold-cross-area-rug-non-skid,custom-ornate-floral-gold-cross-area-rug-non-skid,16000581861745,B001-002-IMG01,1,GALLERY,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/d95613aaf6943f855fa7de8b9f996da63930435d0e0ef2a90fda680e6c8ca799.jpg?v=1789055902,/Users/buiquanghuy/Documents/seo_chillgen/seo_runs/chillgen.com/chillgen_20260911_01/evidence/images/B001/custom-ornate-floral-gold-cross-area-rug-non-skid/01_custom-ornate-floral-gold-cross-area-rug-non-skid.jpg,73061b3494cb624a3f9a344db21784ab7b03b2cb905d966a0fa9479991943400,2026-09-11T07:14:32Z
B001,chillgen.com::custom-ornate-floral-gold-cross-area-rug-non-skid,custom-ornate-floral-gold-cross-area-rug-non-skid,16000581861745,B001-002-IMG02,2,GALLERY,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/36dd2e328d22ca017384e89ea6017d54d15461c444bcfac20965e6e3c3a41929.jpg?v=1789055902,/Users/buiquanghuy/Documents/seo_chillgen/seo_runs/chillgen.com/chillgen_20260911_01/evidence/images/B001/custom-ornate-floral-gold-cross-area-rug-non-skid/02_custom-ornate-floral-gold-cross-area-rug-non-skid.jpg,d4e5018477b9cc4fa288b7cec54bf0bb0a0d2ed9805e53273fdc07f46245c20d,2026-09-11T07:14:32Z
B001,chillgen.com::custom-ornate-floral-gold-cross-area-rug-non-skid,custom-ornate-floral-gold-cross-area-rug-non-skid,16000581861745,B001-002-IMG03,3,GALLERY,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/850f6dfb92e652077137de9845bec65624f128e2489855f7f5cd12872a6e301d.jpg?v=1789055902,/Users/buiquanghuy/Documents/seo_chillgen/seo_runs/chillgen.com/chillgen_20260911_01/evidence/images/B001/custom-ornate-floral-gold-cross-area-rug-non-skid/03_custom-ornate-floral-gold-cross-area-rug-non-skid.jpg,27d55cc0a1b18d93206d9d44a4f71b3124ee24bea81cb216bd417ba7d00dbc1b,2026-09-11T07:14:32Z
B001,chillgen.com::custom-ornate-floral-gold-cross-area-rug-non-skid,custom-ornate-floral-gold-cross-area-rug-non-skid,16000581861745,B001-002-IMG04,4,GALLERY,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/e05932b298675814394761b410043147213806eb5909e77ad85e893dd1daefb3.jpg?v=1789055902,/Users/buiquanghuy/Documents/seo_chillgen/seo_runs/chillgen.com/chillgen_20260911_01/evidence/images/B001/custom-ornate-floral-gold-cross-area-rug-non-skid/04_custom-ornate-floral-gold-cross-area-rug-non-skid.jpg,630da8694ce79644394a132822039ad0adc507d362c200c5dacf41d1116b8a73,2026-09-11T07:14:32Z
