revision,changed_at,batch_id,product_key,Handle,changed_fields,source_refs,review_status,qa_status
R001,2026-09-11T10:22:29Z,B009,chillgen.com::personalized-pride-rainbow-doormat-front-porch-decor,personalized-pride-rainbow-doormat-front-porch-decor,"title_proposed,meta_title_seo,meta_description_seo,description_proposed_html,primary_keyword,secondary_keywords,img_N_alt",PE-B009-81;BR-B009-81,NEEDS_REVIEW,NOT_RUN
R001,2026-09-11T10:22:29Z,B009,chillgen.com::personalized-pride-rainbow-flag-doormat-indoor-outdoor-usage,personalized-pride-rainbow-flag-doormat-indoor-outdoor-usage,"title_proposed,meta_title_seo,meta_description_seo,description_proposed_html,primary_keyword,secondary_keywords,img_N_alt",PE-B009-82;BR-B009-82,NEEDS_REVIEW,NOT_RUN
R001,2026-09-11T10:22:29Z,B009,chillgen.com::personalized-rainbow-watercolor-love-wins-doormat-front-porch-decor,personalized-rainbow-watercolor-love-wins-doormat-front-porch-decor,"title_proposed,meta_title_seo,meta_description_seo,description_proposed_html,primary_keyword,secondary_keywords,img_N_alt",PE-B009-83;BR-B009-83,NEEDS_REVIEW,NOT_RUN
R001,2026-09-11T10:22:29Z,B009,chillgen.com::personalized-rainbow-welcome-homos-doormat-indoor-outdoor,personalized-rainbow-welcome-homos-doormat-indoor-outdoor,"title_proposed,meta_title_seo,meta_description_seo,description_proposed_html,primary_keyword,secondary_keywords,img_N_alt",PE-B009-84;BR-B009-84,NEEDS_REVIEW,NOT_RUN
R001,2026-09-11T10:22:29Z,B009,chillgen.com::personalized-rainbow-astronaut-cat-cosmic-doormat-front-porch-decor,personalized-rainbow-astronaut-cat-cosmic-doormat-front-porch-decor,"title_proposed,meta_title_seo,meta_description_seo,description_proposed_html,primary_keyword,secondary_keywords,img_N_alt",PE-B009-85;BR-B009-85,NEEDS_REVIEW,NOT_RUN
R001,2026-09-11T10:22:29Z,B009,chillgen.com::personalized-flowers-hate-has-no-home-here-doormat-front-porch-decor,personalized-flowers-hate-has-no-home-here-doormat-front-porch-decor,"title_proposed,meta_title_seo,meta_description_seo,description_proposed_html,primary_keyword,secondary_keywords,img_N_alt",PE-B009-86;BR-B009-86,NEEDS_REVIEW,NOT_RUN
R001,2026-09-11T10:22:29Z,B009,chillgen.com::personalized-cozy-cat-rainbow-books-doormat-indoor-outdoor-usage,personalized-cozy-cat-rainbow-books-doormat-indoor-outdoor-usage,"title_proposed,meta_title_seo,meta_description_seo,description_proposed_html,primary_keyword,secondary_keywords,img_N_alt",PE-B009-87;BR-B009-87,NEEDS_REVIEW,NOT_RUN
R001,2026-09-11T10:22:29Z,B009,chillgen.com::personalized-as-for-me-and-my-house-doormat-water-resistant,personalized-as-for-me-and-my-house-doormat-water-resistant,"title_proposed,meta_title_seo,meta_description_seo,description_proposed_html,primary_keyword,secondary_keywords,img_N_alt",PE-B009-88;BR-B009-88,NEEDS_REVIEW,NOT_RUN
R001,2026-09-11T10:22:29Z,B009,chillgen.com::personalized-bible-verse-quote-with-ornate-frame-doormat,personalized-bible-verse-quote-with-ornate-frame-doormat,"title_proposed,meta_title_seo,meta_description_seo,description_proposed_html,primary_keyword,secondary_keywords,img_N_alt",PE-B009-89;BR-B009-89,NEEDS_REVIEW,NOT_RUN
R001,2026-09-11T10:22:29Z,B009,chillgen.com::personalized-bible-verse-family-name-doormat-water-resistant-bible,personalized-bible-verse-family-name-doormat-water-resistant-bible,"title_proposed,meta_title_seo,meta_description_seo,description_proposed_html,primary_keyword,secondary_keywords,img_N_alt",PE-B009-90;BR-B009-90,NEEDS_REVIEW,NOT_RUN
