Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcodes,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,amazon_parent_asin (product.metafields.custom.amazon_parent_asin),Short name (product.metafields.custom.short_name),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Product rating count (product.metafields.reviews.rating_count),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
personalized-cheerful-school-themed-welcome-doormat-non-slip-backing,"Personalized Cheerful School Themed Welcome Doormat, Non-Slip Backing","<p>This personalized doormat offers a warm welcome to any classroom or learning space. Designed with a classic composition notebook style, it combines functionality with a unique touch. Its durable construction makes it an ideal addition for both indoor and outdoor settings, effectively capturing dirt and moisture to keep floors clean.</p><h3>Product Highlights</h3><ul>
<li>Personalizable with a teacher's name for a unique touch</li>
<li>Soft, heat-resistant non-woven fabric top</li>
<li>Non-slip neoprene rubber backing for stability</li>
<li>Effectively traps dirt, dust, and grime</li>
<li>Suitable for both indoor and outdoor use</li>
<li>Easy to clean and maintain</li>
</ul><h3>Specifications</h3><table border=""1"" cellpadding=""6"" style=""border-collapse:collapse;width:100%"">
<tr>
<th align=""left"" width=""35%"">Attribute</th>
<th align=""left"">Value</th>
</tr>
<tr>
<td>Rug Form</td>
<td>Doormat</td>
</tr>
<tr>
<td>Item Shape</td>
<td>Rectangular</td>
</tr>
<tr>
<td>Weave Type</td>
<td>Machine Made</td>
</tr>
<tr>
<td>Pile Height</td>
<td>Low Pile</td>
</tr>
<tr>
<td>Construction Type</td>
<td>Machine Made</td>
</tr>
<tr>
<td>Indoor/Outdoor Usage</td>
<td>Both</td>
</tr>
<tr>
<td>Water Resistance</td>
<td>Water Resistant</td>
</tr>
<tr>
<td>Pattern</td>
<td>Composition Notebook Style</td>
</tr>
<tr>
<td>Theme</td>
<td>Classroom</td>
</tr>
<tr>
<td>Style</td>
<td>Modern</td>
</tr>
<tr>
<td>Number of Pieces</td>
<td>1</td>
</tr>
<tr>
<td>Personalization</td>
<td>1 text input</td>
</tr>
</table><h3>Material &amp; Care</h3><table border=""1"" cellpadding=""6"" style=""border-collapse:collapse;width:100%"">
<tr>
<th align=""left"" width=""35%"">Item</th>
<th align=""left"">Detail</th>
</tr>
<tr>
<td>Material Type</td>
<td>Polyester</td>
</tr>
<tr>
<td>Backing Material</td>
<td>High-quality Epoxy, Neoprene Rubber</td>
</tr>
<tr>
<td>Surface/Feel</td>
<td>Soft non-woven fabric</td>
</tr>
<tr>
<td>Care Instructions</td>
<td>Avoid bleaching</td>
</tr>
<tr>
<td>Cleaning Method</td>
<td>Hose down or sponge clean with mild liquid soap</td>
</tr>
<tr>
<td>Drying</td>
<td>Air dry</td>
</tr>
</table><h3>Where It Works</h3><p>This doormat is suitable for classrooms, entryways, and RVs, making it a versatile option for various settings. It creates a welcoming atmosphere at classroom doors, reading corners, or teacher spaces.</p>",CHILLGEN,Services > Building & Construction Services > Outdoor Construction,Rug,"amazon-parent-b0fgdcsg3y, classroom, doormat, home-decor, low-pile, modern, personalized, rectangular, rug",false,Choose Your Option,"Blank Doormat, No Custom",,Pick Up Size,"24""x16"" (40x60 cm)",,,,,AMZ-RUG-B0H8DMRQ1N-1,0.0,,0,deny,manual,21.90,29.20,true,false,,,,,"",https://cdn.shopify.com/s/files/1/1023/0068/0561/files/69129ba18db13a9c162e82210ff3ea320f83a50d9c330480ef927fe532114432.jpg?v=1789094327,1,"Personalized Cheerful School Themed Welcome Doormat, Non-Slip Backing",false,,"Modern composition notebook style doormat with a personalized touch, featuring a non-slip backing for classrooms or entryways.",,,,,,,,,,,,B0FGDCSG3Y,,,,,lb,,,draft
personalized-cheerful-school-themed-welcome-doormat-non-slip-backing,,,,,,,,,"Blank Doormat, No Custom",,,"32""x20"" (50x80 cm) - BEST SELLING",,,,,AMZ-RUG-B0H8DMRQ1N-2,0.0,,0,deny,manual,30.90,41.20,true,false,,,,,"",https://cdn.shopify.com/s/files/1/1023/0068/0561/files/fadcd7c6849da17660f389af5f0827a27fb95ade2ab66070e5a6093a0bd3eceb.jpg?v=1789094327,2,"Personalized Cheerful School Themed Welcome Doormat, Non-Slip Backing",,,,,,,,,,,,,,,,,,,,lb,,,
personalized-cheerful-school-themed-welcome-doormat-non-slip-backing,,,,,,,,,"Blank Doormat, No Custom",,,"36""x24"" (60x90 cm)",,,,,AMZ-RUG-B0H8DMRQ1N-3,0.0,,0,deny,manual,34.90,46.53,true,false,,,,,"",https://cdn.shopify.com/s/files/1/1023/0068/0561/files/94f738a75ae3b53350ecf41c15734b7275b5e67fd1af34c7afe2b5b832205c04.jpg?v=1789094327,3,"Personalized Cheerful School Themed Welcome Doormat, Non-Slip Backing",,,,,,,,,,,,,,,,,,,,lb,,,
personalized-cheerful-school-themed-welcome-doormat-non-slip-backing,,,,,,,,,Customized Doormat,,,"24""x16"" (40x60 cm)",,,,,AMZ-RUG-B0H8DMRQ1N-4,0.0,,0,deny,manual,28.90,38.53,true,false,,,,,"",https://cdn.shopify.com/s/files/1/1023/0068/0561/files/9b9113b843757874663561ef989c5d6f647a80d1f6d89d0a53b49bf397af62de.jpg?v=1789094327,4,"Personalized Cheerful School Themed Welcome Doormat, Non-Slip Backing",,,,,,,,,,,,,,,,,,,,lb,,,
personalized-cheerful-school-themed-welcome-doormat-non-slip-backing,,,,,,,,,Customized Doormat,,,"32""x20"" (50x80 cm) - BEST SELLING",,,,,AMZ-RUG-B0H8DMRQ1N-5,0.0,,0,deny,manual,37.90,50.53,true,false,,,,,"",https://cdn.shopify.com/s/files/1/1023/0068/0561/files/2ca761033b1f5698cc82b2dfb7dcefdb99f9499a81f04a3436ae1047146e1941.jpg?v=1789094327,5,"Personalized Cheerful School Themed Welcome Doormat, Non-Slip Backing",,,,,,,,,,,,,,,,,,,,lb,,,
personalized-cheerful-school-themed-welcome-doormat-non-slip-backing,,,,,,,,,Customized Doormat,,,"36""x24"" (60x90 cm)",,,,,AMZ-RUG-B0H8DMRQ1N-6,0.0,,0,deny,manual,41.90,55.87,true,false,,,,,"",https://cdn.shopify.com/s/files/1/1023/0068/0561/files/e59eac41020c5d080404f8d39ad8b3d5c8ad833aa3e5ed52aeb61e1e9fef3fe3.jpg?v=1789094327,6,"Personalized Cheerful School Themed Welcome Doormat, Non-Slip Backing",,,,,,,,,,,,,,,,,,,,lb,,,
personalized-pink-school-supplies-doormat-machine-made,"Personalized Pink School Supplies Doormat, Machine Made","<p>This personalized doormat is designed to welcome students with a special touch, ideal for classroom entrances. Its unique design adds a cheerful and inviting atmosphere to any learning space. The doormat combines personalized charm with functional features to keep floors clean.</p><h3>Product Highlights</h3><ul>
<li>Personalize with a teacher’s name for a unique classroom entrance</li>
<li>Soft and durable non-woven fabric top for comfort and longevity</li>
<li>Features a neoprene rubber non-slip backing to keep the mat in place</li>
<li>Effectively dries wet feet and traps dirt, dust, and grime</li>
<li>Suitable for both indoor and outdoor use in various settings</li>
</ul><h3>Specifications</h3><table border=""1"" cellpadding=""6"" style=""border-collapse:collapse;width:100%"">
<tr>
<th align=""left"" width=""35%"">Attribute</th>
<th align=""left"">Value</th>
</tr>
<tr>
<td>Rug Form</td>
<td>Doormat</td>
</tr>
<tr>
<td>Item Shape</td>
<td>Rectangular</td>
</tr>
<tr>
<td>Weave Type</td>
<td>Machine Made</td>
</tr>
<tr>
<td>Pile Height</td>
<td>Low Pile</td>
</tr>
<tr>
<td>Construction Type</td>
<td>Machine Made</td>
</tr>
<tr>
<td>Indoor/Outdoor Usage</td>
<td>Both</td>
</tr>
<tr>
<td>Pattern</td>
<td>Composition Notebook Style</td>
</tr>
<tr>
<td>Theme</td>
<td>Classroom</td>
</tr>
<tr>
<td>Style</td>
<td>Modern</td>
</tr>
<tr>
<td>Number of Pieces</td>
<td>1</td>
</tr>
<tr>
<td>Water Resistance</td>
<td>Water Resistant</td>
</tr>
</table><h3>Material &amp; Care</h3><table border=""1"" cellpadding=""6"" style=""border-collapse:collapse;width:100%"">
<tr>
<th align=""left"" width=""35%"">Item</th>
<th align=""left"">Detail</th>
</tr>
<tr>
<td>Material Type</td>
<td>Polyester</td>
</tr>
<tr>
<td>Backing Material</td>
<td>High-quality Epoxy</td>
</tr>
<tr>
<td>Care Instructions</td>
<td>Avoid bleaching</td>
</tr>
<tr>
<td>Cleaning Method</td>
<td>Hose down or sponge clean with mild liquid soap</td>
</tr>
<tr>
<td>Drying</td>
<td>Air dry</td>
</tr>
</table><h3>Where It Works</h3><p>This doormat is perfect for classrooms, entryways, and RVs, creating a welcoming and clean environment. Its versatile design makes it suitable for various indoor and outdoor settings where a personalized touch is desired.</p>",CHILLGEN,Services > Building & Construction Services > Outdoor Construction,Rug,"amazon-parent-b0fgdcsg3y, classroom, doormat, home-decor, indoor-outdoor, modern, personalized, rectangular, rug",false,Choose Your Option,"Blank Doormat, No Custom",,Pick Up Size,"24""x16"" (40x60 cm)",,,,,AMZ-RUG-B0FGDB72WC-1,0.0,,0,deny,manual,21.90,29.20,true,false,,,,,"",https://cdn.shopify.com/s/files/1/1023/0068/0561/files/e1e7d712686c2aae384738b73617b89f148767eb0ec0dd792fee64bf1685a698.jpg?v=1789094328,1,"Personalized Teacher Welcome Door Mat with Name, Composition Notebook Style, Perfect Classroom Decor & Back to School Gift for Teachers (Cute Class)",false,,"Modern rectangular personalized doormat with a non-slip backing, perfect for classrooms and versatile indoor/outdoor use.",,,,,,,,,,,,B0FGDCSG3Y,,,,,lb,,,draft
personalized-pink-school-supplies-doormat-machine-made,,,,,,,,,"Blank Doormat, No Custom",,,"32""x20"" (50x80 cm) - BEST SELLING",,,,,AMZ-RUG-B0FGDB72WC-2,0.0,,0,deny,manual,30.90,41.20,true,false,,,,,"",https://cdn.shopify.com/s/files/1/1023/0068/0561/files/6d4e5b85d7f1657e12f9cf6fc146c242ea6c02ef9440cca83c1e468b508db642.jpg?v=1789094328,2,"Personalized Teacher Welcome Door Mat with Name, Composition Notebook Style, Perfect Classroom Decor & Back to School Gift for Teachers (Cute Class)",,,,,,,,,,,,,,,,,,,,lb,,,
personalized-pink-school-supplies-doormat-machine-made,,,,,,,,,"Blank Doormat, No Custom",,,"36""x24"" (60x90 cm)",,,,,AMZ-RUG-B0FGDB72WC-3,0.0,,0,deny,manual,34.90,46.53,true,false,,,,,"",https://cdn.shopify.com/s/files/1/1023/0068/0561/files/20461071e620900f98a70cc176981a6daf0d19f1922d802a37b614c3dda9d265.jpg?v=1789094327,3,"Personalized Teacher Welcome Door Mat with Name, Composition Notebook Style, Perfect Classroom Decor & Back to School Gift for Teachers (Cute Class)",,,,,,,,,,,,,,,,,,,,lb,,,
personalized-pink-school-supplies-doormat-machine-made,,,,,,,,,Customized Doormat,,,"24""x16"" (40x60 cm)",,,,,AMZ-RUG-B0FGDB72WC-4,0.0,,0,deny,manual,28.90,38.53,true,false,,,,,"",https://cdn.shopify.com/s/files/1/1023/0068/0561/files/7ccadf423a0d1e220f8af31f4b6b30019cc9dfb364b80f95059436efef66ad35.jpg?v=1789094327,4,"Personalized Teacher Welcome Door Mat with Name, Composition Notebook Style, Perfect Classroom Decor & Back to School Gift for Teachers (Cute Class)",,,,,,,,,,,,,,,,,,,,lb,,,
