evidence_id,shop_domain,Handle,product_id,media_id,image_location,image_number,variant,image_url,image_url_export,identity_status,shared_media_references,viewed_status,viewed_at,observed_visual_details,alt_current,alt_proposed,alt_action,review_status,revision,approved_by,approved_at,approved_fields,approved_revision,evidence_file_or_reference,issues
B039-381,chillgen.com,custom-composition-notebook-classroom-kids-rug-4e7e4d40cf-4e7e4d40cf,15913201893745,80877092503921,GALLERY_PUBLIC_CDN,1,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/0d895a608a080f28444fa8d29323033abe8446c0658feee47c8f51c1b1578653.jpg?v=1784370278,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:40:46+07:00,black emotion classroom rug in living room,,black emotion classroom rug in living room,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B039/custom-composition-notebook-classroom-kids-rug-4e7e4d40cf-4e7e4d40cf__img_01.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B039-381,chillgen.com,custom-composition-notebook-classroom-kids-rug-4e7e4d40cf-4e7e4d40cf,15913201893745,80877092536689,GALLERY_PUBLIC_CDN,2,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/6eabf043004f46cc8042ff41be01d52df2fb755382d428527abb31d2331f9ca4.jpg?v=1784370279,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:40:46+07:00,emotion classroom rug size options,,emotion classroom rug size options,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B039/custom-composition-notebook-classroom-kids-rug-4e7e4d40cf-4e7e4d40cf__img_02.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B039-381,chillgen.com,custom-composition-notebook-classroom-kids-rug-4e7e4d40cf-4e7e4d40cf,15913201893745,80877092569457,GALLERY_PUBLIC_CDN,3,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/09a84b65db7ac8438f532ea3d1f655205e50030e84713dc4f8773683fd48bf1a.jpg?v=1784370284,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:40:46+07:00,I Feel classroom rug in playroom,,I Feel classroom rug in playroom,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B039/custom-composition-notebook-classroom-kids-rug-4e7e4d40cf-4e7e4d40cf__img_03.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B039-381,chillgen.com,custom-composition-notebook-classroom-kids-rug-4e7e4d40cf-4e7e4d40cf,15913201893745,80877092602225,GALLERY_PUBLIC_CDN,4,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/d8ac6382d4aaab08cc5620bb5f16f2c12f791b5d2f578b828d894ecf1043381b.jpg?v=1784370284,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:40:46+07:00,black SEL rug in kids room,,black SEL rug in kids room,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B039/custom-composition-notebook-classroom-kids-rug-4e7e4d40cf-4e7e4d40cf__img_04.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B039-381,chillgen.com,custom-composition-notebook-classroom-kids-rug-4e7e4d40cf-4e7e4d40cf,15913201893745,80877092634993,GALLERY_PUBLIC_CDN,5,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/6f9686905d50f1956dc3210b247fd3cf026c985f94f3bcf2e34d8649bd1a19f4.jpg?v=1784370290,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:40:46+07:00,children sitting on emotion learning rug,,children sitting on emotion learning rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B039/custom-composition-notebook-classroom-kids-rug-4e7e4d40cf-4e7e4d40cf__img_05.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B039-381,chillgen.com,custom-composition-notebook-classroom-kids-rug-4e7e4d40cf-4e7e4d40cf,15913201893745,80877092667761,GALLERY_PUBLIC_CDN,6,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/9e27103aeae2dbc71d36c6fc19faae9323edecf78bebfc4ffeb9631d21871681.jpg?v=1784370290,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:40:46+07:00,child playing on black classroom rug,,child playing on black classroom rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B039/custom-composition-notebook-classroom-kids-rug-4e7e4d40cf-4e7e4d40cf__img_06.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B039-381,chillgen.com,custom-composition-notebook-classroom-kids-rug-4e7e4d40cf-4e7e4d40cf,15913201893745,80877092700529,GALLERY_PUBLIC_CDN,7,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/25d109c23fffdb03a9981e2f4dcdfb4004ea69f8ecb2af50a07ac8d521717d91.jpg?v=1784370295,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:40:46+07:00,emotion rug material and backing detail,,emotion rug material and backing detail,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B039/custom-composition-notebook-classroom-kids-rug-4e7e4d40cf-4e7e4d40cf__img_07.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B039-381,chillgen.com,custom-composition-notebook-classroom-kids-rug-4e7e4d40cf-4e7e4d40cf,15913201893745,80877092733297,GALLERY_PUBLIC_CDN,8,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/a416f57c74720c7101f404566f5ebafc9ba52c870b5a0171014a177c37d3a3d5.jpg?v=1784370295,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:40:46+07:00,machine washable classroom rug care panel,,machine washable classroom rug care panel,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B039/custom-composition-notebook-classroom-kids-rug-4e7e4d40cf-4e7e4d40cf__img_08.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B039-382,chillgen.com,custom-composition-notebook-classroom-rug-for-kids-64af3c74f1,15913202090353,80877094175089,GALLERY_PUBLIC_CDN,1,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/2167f75c19d0a8af4a5861287552f5df53e975a79b5b0de8d4620c16b4838b79.jpg?v=1784370252,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:40:46+07:00,first grade writing classroom rug in playroom,,first grade writing classroom rug in playroom,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B039/custom-composition-notebook-classroom-rug-for-kids-64af3c74f1__img_01.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B039-382,chillgen.com,custom-composition-notebook-classroom-rug-for-kids-64af3c74f1,15913202090353,80877094207857,GALLERY_PUBLIC_CDN,2,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/d316372c8928082eb3bd68008caaef33fd44acbce249910debc47c2c2416c7d4.jpg?v=1784370255,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:40:46+07:00,personalized classroom rug size options,,personalized classroom rug size options,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B039/custom-composition-notebook-classroom-rug-for-kids-64af3c74f1__img_02.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B039-382,chillgen.com,custom-composition-notebook-classroom-rug-for-kids-64af3c74f1,15913202090353,80877094240625,GALLERY_PUBLIC_CDN,3,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/2cbcb85a2df06cdbc8f368b7047c54a2eb4834e2a945181717589022649cbda7.jpg?v=1784370258,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:40:46+07:00,children sitting on first grade rug,,children sitting on first grade rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B039/custom-composition-notebook-classroom-rug-for-kids-64af3c74f1__img_03.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
