evidence_id,shop_domain,Handle,product_id,media_id,image_location,image_number,variant,image_url,image_url_export,identity_status,shared_media_references,viewed_status,viewed_at,observed_visual_details,alt_current,alt_proposed,alt_action,review_status,revision,approved_by,approved_at,approved_fields,approved_revision,evidence_file_or_reference,issues
B035-341,chillgen.com,custom-running-horse-welcome-mat-b4cfa05f9b-b4cfa05f9b,15913420128625,80879102263665,GALLERY_PUBLIC_CDN,1,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/fd21943333b5e91bed7e3462537617d824c2199c49ae2a94ca53f0c51fbd2755.jpg?v=1784377008,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:22:21+07:00,sunset horse silhouette rug patio view,,sunset horse silhouette rug patio view,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B035/custom-running-horse-welcome-mat-b4cfa05f9b-b4cfa05f9b__img_01.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B035-341,chillgen.com,custom-running-horse-welcome-mat-b4cfa05f9b-b4cfa05f9b,15913420128625,80879102296433,GALLERY_PUBLIC_CDN,2,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/252c004d18e20a09e6c90bee3831078b1627afa3d730075094122d5233687479.jpg?v=1784377008,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:22:21+07:00,horse silhouette rug size chart,,horse silhouette rug size chart,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B035/custom-running-horse-welcome-mat-b4cfa05f9b-b4cfa05f9b__img_02.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B035-341,chillgen.com,custom-running-horse-welcome-mat-b4cfa05f9b-b4cfa05f9b,15913420128625,80879102329201,GALLERY_PUBLIC_CDN,3,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/b7ee6d542d5422f0117f3fed94d6063622130e39da294de2c61da60236b2d46e.jpg?v=1784377013,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:22:21+07:00,microfiber horse rug surface detail,,microfiber horse rug surface detail,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B035/custom-running-horse-welcome-mat-b4cfa05f9b-b4cfa05f9b__img_03.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B035-341,chillgen.com,custom-running-horse-welcome-mat-b4cfa05f9b-b4cfa05f9b,15913420128625,80879102361969,GALLERY_PUBLIC_CDN,4,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/1c0ce3ac7076c154cb716b8a6af45ca1d9143012360a542b592105d4ee7d44d7.jpg?v=1784377013,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:22:21+07:00,anti-slip backing and stain resistance panel,,anti-slip backing and stain resistance panel,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B035/custom-running-horse-welcome-mat-b4cfa05f9b-b4cfa05f9b__img_04.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B035-341,chillgen.com,custom-running-horse-welcome-mat-b4cfa05f9b-b4cfa05f9b,15913420128625,80879102394737,GALLERY_PUBLIC_CDN,5,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/2fd49fd9fd6906507bc151c7ddac40553564bbbcd6b94235de5ce967aeca99c8.jpg?v=1784377018,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:22:21+07:00,sunset horse rug in living room,,sunset horse rug in living room,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B035/custom-running-horse-welcome-mat-b4cfa05f9b-b4cfa05f9b__img_05.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B035-341,chillgen.com,custom-running-horse-welcome-mat-b4cfa05f9b-b4cfa05f9b,15913420128625,80879102427505,GALLERY_PUBLIC_CDN,6,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/926dab00ceafbb44f39c47e1c030fa138f7efd9f42ade4613af717cccbb547dd.jpg?v=1784377019,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:22:21+07:00,horse silhouette rug room mockup,,horse silhouette rug room mockup,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B035/custom-running-horse-welcome-mat-b4cfa05f9b-b4cfa05f9b__img_06.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B035-341,chillgen.com,custom-running-horse-welcome-mat-b4cfa05f9b-b4cfa05f9b,15913420128625,80879102460273,GALLERY_PUBLIC_CDN,7,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/e691db12205f0d7bce28a03585faddf12dbcb93a8a740ba5c84ef69cc870946d.jpg?v=1784377023,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:22:21+07:00,sunset horse rug beside sofa,,sunset horse rug beside sofa,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B035/custom-running-horse-welcome-mat-b4cfa05f9b-b4cfa05f9b__img_07.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B035-341,chillgen.com,custom-running-horse-welcome-mat-b4cfa05f9b-b4cfa05f9b,15913420128625,80879102493041,GALLERY_PUBLIC_CDN,8,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/73cc21bdbf194fe8fa08bd7cf538d7fc16270be57fd2f9b99b07b1123c343a6f.jpg?v=1784377023,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:22:21+07:00,horse silhouette rug by fireplace,,horse silhouette rug by fireplace,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B035/custom-running-horse-welcome-mat-b4cfa05f9b-b4cfa05f9b__img_08.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B035-342,chillgen.com,custom-running-horse-welcome-mat-7069b0c873-7069b0c873,15913420390769,80879102624113,GALLERY_PUBLIC_CDN,1,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/3d8b9ec83cc704dd5cd771aad1063c0bdc7ce66a6c7bef87ab467d8984ede26b.jpg?v=1784376987,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:22:21+07:00,black horse bridle rug patio view,,black horse bridle rug patio view,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B035/custom-running-horse-welcome-mat-7069b0c873-7069b0c873__img_01.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B035-342,chillgen.com,custom-running-horse-welcome-mat-7069b0c873-7069b0c873,15913420390769,80879102656881,GALLERY_PUBLIC_CDN,2,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/2327c867c1e7867a9c00cd585a724c8cece8d0af6fc0e4154ca36b7d319bcd76.jpg?v=1784376987,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:22:21+07:00,horse bridle rug size chart,,horse bridle rug size chart,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B035/custom-running-horse-welcome-mat-7069b0c873-7069b0c873__img_02.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B035-342,chillgen.com,custom-running-horse-welcome-mat-7069b0c873-7069b0c873,15913420390769,80879102689649,GALLERY_PUBLIC_CDN,3,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/a90f58c4ad136345af8427d0d8d430e61c4148c70a58752cbcd8424b3e24e5d4.jpg?v=1784376992,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:22:21+07:00,microfiber memory foam horse rug detail,,microfiber memory foam horse rug detail,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B035/custom-running-horse-welcome-mat-7069b0c873-7069b0c873__img_03.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
