evidence_id,shop_domain,Handle,product_id,media_id,image_location,image_number,variant,image_url,image_url_export,identity_status,shared_media_references,viewed_status,viewed_at,observed_visual_details,alt_current,alt_proposed,alt_action,review_status,revision,approved_by,approved_at,approved_fields,approved_revision,evidence_file_or_reference,issues
B017-161,chillgen.com,personalized-orthodox-christian-area-rug-custom-eastern-design-106,15969451311473,81245785948529,GALLERY_PUBLIC_CDN,1,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/a378bb417b13c2b23b4e65954b854673670d3e238635bf6c34f89d8c41afe0df.jpg?v=1786656191,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:02:47+07:00,cream red Orthodox cross rug overhead view,,cream red Orthodox cross rug overhead view,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B017/personalized-orthodox-christian-area-rug-custom-eastern-design-106__img_01.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B017-161,chillgen.com,personalized-orthodox-christian-area-rug-custom-eastern-design-106,15969451311473,81245785981297,GALLERY_PUBLIC_CDN,2,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/9f51195130ca70d36b079d8de3bfecd7409840f0ccc75a840ab7fbdbe6852a6f.jpg?v=1786656191,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:02:47+07:00,size guide for cream Orthodox cross rug,,size guide for cream Orthodox cross rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B017/personalized-orthodox-christian-area-rug-custom-eastern-design-106__img_02.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B017-161,chillgen.com,personalized-orthodox-christian-area-rug-custom-eastern-design-106,15969451311473,81245786014065,GALLERY_PUBLIC_CDN,3,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/c19ff54c77178841e276f8eb5c2af785d40cdf0494f325fffcc8e852027bfea3.jpg?v=1786656191,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:02:47+07:00,cream Christian rug beside sofa,,cream Christian rug beside sofa,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B017/personalized-orthodox-christian-area-rug-custom-eastern-design-106__img_03.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B017-161,chillgen.com,personalized-orthodox-christian-area-rug-custom-eastern-design-106,15969451311473,81245786046833,GALLERY_PUBLIC_CDN,4,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/7040007613f79d15b0677fb133fa4a618596de66671e610923ce48cd4da2bf24.jpg?v=1786656191,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:02:47+07:00,cream red cross rug in living room,,cream red cross rug in living room,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B017/personalized-orthodox-christian-area-rug-custom-eastern-design-106__img_04.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B017-161,chillgen.com,personalized-orthodox-christian-area-rug-custom-eastern-design-106,15969451311473,81245786079601,GALLERY_PUBLIC_CDN,5,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/7aa937adfdfe0b0d6bd27e38407765259711a1aee6f03b5dd21444d4b52a4f6b.jpg?v=1786656191,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:02:47+07:00,religious cross area rug in bright room,,religious cross area rug in bright room,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B017/personalized-orthodox-christian-area-rug-custom-eastern-design-106__img_05.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B017-161,chillgen.com,personalized-orthodox-christian-area-rug-custom-eastern-design-106,15969451311473,81245786112369,GALLERY_PUBLIC_CDN,6,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/5323000740a7573e4772aaa97f616d1ab8b91960f28ae61952fbae4cb77789cf.jpg?v=1786656191,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:02:47+07:00,woman sitting near cream prayer rug,,woman sitting near cream prayer rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B017/personalized-orthodox-christian-area-rug-custom-eastern-design-106__img_06.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B017-161,chillgen.com,personalized-orthodox-christian-area-rug-custom-eastern-design-106,15969451311473,81245786145137,GALLERY_PUBLIC_CDN,7,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/567841a235dd0059be7d41bc8b7cf1742337711f478d74f178781514ab7b0858.jpg?v=1786656191,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:02:47+07:00,microfiber memory foam detail for cross rug,,microfiber memory foam detail for cross rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B017/personalized-orthodox-christian-area-rug-custom-eastern-design-106__img_07.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B017-161,chillgen.com,personalized-orthodox-christian-area-rug-custom-eastern-design-106,15969451311473,81245786177905,GALLERY_PUBLIC_CDN,8,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/4cfda6ecb9f5b23e2c501eca0b0e7a29c00990a7c51bfd7e61d06992ef7e399c.jpg?v=1786656191,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:02:47+07:00,anti-slip backing graphic for Orthodox rug,,anti-slip backing graphic for Orthodox rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B017/personalized-orthodox-christian-area-rug-custom-eastern-design-106__img_08.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B017-162,chillgen.com,personalized-orthodox-christian-area-rug-custom-eastern-design-107,15969451344241,81245786243441,GALLERY_PUBLIC_CDN,1,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/d86512550401fcf0048184d068f59c1ede3cd293c15f3ebacd05b76d56fc63b8.jpg?v=1786656202,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:02:47+07:00,green cream Orthodox cross rug beside sofa,,green cream Orthodox cross rug beside sofa,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B017/personalized-orthodox-christian-area-rug-custom-eastern-design-107__img_01.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B017-162,chillgen.com,personalized-orthodox-christian-area-rug-custom-eastern-design-107,15969451344241,81245786276209,GALLERY_PUBLIC_CDN,2,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/633d661e69503f41250c888ae9e0cd5ab628a169082f3b93212d4f40d45eb9b3.jpg?v=1786656202,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:02:47+07:00,size guide for green Orthodox rug,,size guide for green Orthodox rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B017/personalized-orthodox-christian-area-rug-custom-eastern-design-107__img_02.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B017-162,chillgen.com,personalized-orthodox-christian-area-rug-custom-eastern-design-107,15969451344241,81245786308977,GALLERY_PUBLIC_CDN,3,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/5fc912b4b77aa016b9c14dbbf8da40a5718ff4b3617581135bac879a6ae86627.jpg?v=1786656202,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:02:47+07:00,green Christian cross rug overhead view,,green Christian cross rug overhead view,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B017/personalized-orthodox-christian-area-rug-custom-eastern-design-107__img_03.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
