evidence_id,shop_domain,Handle,product_id,media_id,image_location,image_number,variant,image_url,image_url_export,identity_status,shared_media_references,viewed_status,viewed_at,observed_visual_details,alt_current,alt_proposed,alt_action,review_status,revision,approved_by,approved_at,approved_fields,approved_revision,evidence_file_or_reference,issues
B049-481,chillgen.com,personalized-motivational-classroom-rug-for-kids-1499e819f7-1499e819f7,15913242165617,80877557514609,GALLERY_PUBLIC_CDN,1,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/636afcbda4f4803cf9e9b26e9f595c586103973ab1332c8a3a5a51515b0a3a5d.jpg?v=1784365266,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T10:26:10+07:00,White You Are affirmation rug in kids room,,White You Are affirmation rug in kids room,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B049/personalized-motivational-classroom-rug-for-kids-1499e819f7-1499e819f7__img_01.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B049-481,chillgen.com,personalized-motivational-classroom-rug-for-kids-1499e819f7-1499e819f7,15913242165617,80877557547377,GALLERY_PUBLIC_CDN,2,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/8bec3c14c4530e9e5cee333c7109eea4549a5a5a7fefc5be05f41ad2cb9b550f.jpg?v=1784365268,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T10:26:10+07:00,Top view of bright You Are adjective stripe rug,,Top view of bright You Are adjective stripe rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B049/personalized-motivational-classroom-rug-for-kids-1499e819f7-1499e819f7__img_02.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B049-481,chillgen.com,personalized-motivational-classroom-rug-for-kids-1499e819f7-1499e819f7,15913242165617,80877557580145,GALLERY_PUBLIC_CDN,3,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/4fb66f579f49362d6fbb0f687ab98cee674f540d25c906fb0f705dfe9cc34625.jpg?v=1784365272,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T10:26:10+07:00,Child reading on You Are classroom rug,,Child reading on You Are classroom rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B049/personalized-motivational-classroom-rug-for-kids-1499e819f7-1499e819f7__img_03.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B049-481,chillgen.com,personalized-motivational-classroom-rug-for-kids-1499e819f7-1499e819f7,15913242165617,80877557612913,GALLERY_PUBLIC_CDN,4,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/196a4d15b8bb10c65cb1bee7b2d9728f18eda83189db620019ab14715ee7c3e8.jpg?v=1784365274,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T10:26:10+07:00,Child playing on bright positive words rug,,Child playing on bright positive words rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B049/personalized-motivational-classroom-rug-for-kids-1499e819f7-1499e819f7__img_04.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B049-481,chillgen.com,personalized-motivational-classroom-rug-for-kids-1499e819f7-1499e819f7,15913242165617,80877557645681,GALLERY_PUBLIC_CDN,5,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/0d1e933aca40f3c92c57c415aee675f8e10f8242bb7eeb29997346e8acdf4941.jpg?v=1784365277,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T10:26:10+07:00,Feature graphic showing thickness bound edges and learning pattern,,Feature graphic showing thickness bound edges and learning pattern,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B049/personalized-motivational-classroom-rug-for-kids-1499e819f7-1499e819f7__img_05.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B049-481,chillgen.com,personalized-motivational-classroom-rug-for-kids-1499e819f7-1499e819f7,15913242165617,80877557678449,GALLERY_PUBLIC_CDN,6,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/7fa63017d58e69568a70f6cad2303813b3335808f6a939bf53ce42a5ae1c5f2c.jpg?v=1784365279,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T10:26:10+07:00,Classroom mockup with white You Are affirmation rug,,Classroom mockup with white You Are affirmation rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B049/personalized-motivational-classroom-rug-for-kids-1499e819f7-1499e819f7__img_06.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B049-481,chillgen.com,personalized-motivational-classroom-rug-for-kids-1499e819f7-1499e819f7,15913242165617,80877557711217,GALLERY_PUBLIC_CDN,7,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/b4e7206936fceb329b5e8932d1d0105d21d184392461478ecec302f1d7ee6e95.jpg?v=1784365283,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T10:26:10+07:00,Playroom mockup with bright affirmation classroom rug,,Playroom mockup with bright affirmation classroom rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B049/personalized-motivational-classroom-rug-for-kids-1499e819f7-1499e819f7__img_07.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B049-481,chillgen.com,personalized-motivational-classroom-rug-for-kids-1499e819f7-1499e819f7,15913242165617,80877557743985,GALLERY_PUBLIC_CDN,8,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/6a4f2cb52994062754beffef3c90e8dbc6883f2ad35b7abcbd27a5743ee222cc.jpg?v=1784365285,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T10:26:10+07:00,Children playing on You Are positive words rug,,Children playing on You Are positive words rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B049/personalized-motivational-classroom-rug-for-kids-1499e819f7-1499e819f7__img_08.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B049-482,chillgen.com,personalized-motivational-classroom-rug-for-kids-d58c24b35d,15913242952049,80877564068209,GALLERY_PUBLIC_CDN,1,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/c235267706d84ad1dc65cdb8849854fcd0b61f5c0192b40ecbb15d2ea125a68a.jpg?v=1784365244,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T10:26:10+07:00,Rainbow sunburst I Am affirmation rug in nursery room,,Rainbow sunburst I Am affirmation rug in nursery room,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B049/personalized-motivational-classroom-rug-for-kids-d58c24b35d__img_01.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B049-482,chillgen.com,personalized-motivational-classroom-rug-for-kids-d58c24b35d,15913242952049,80877564100977,GALLERY_PUBLIC_CDN,2,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/78408cef391249851471cef94914c1b8fc9283f5ff567b9e89040f499b920a2c.jpg?v=1784365246,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T10:26:10+07:00,Classroom mockup with rainbow I Am affirmation rug,,Classroom mockup with rainbow I Am affirmation rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B049/personalized-motivational-classroom-rug-for-kids-d58c24b35d__img_02.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B049-482,chillgen.com,personalized-motivational-classroom-rug-for-kids-d58c24b35d,15913242952049,80877564133745,GALLERY_PUBLIC_CDN,3,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/96808981a66003253f90637f4788133e0b669722003672a929d21844f6d280ba.jpg?v=1784365249,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T10:26:10+07:00,Child playing on colorful I Am rug,,Child playing on colorful I Am rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B049/personalized-motivational-classroom-rug-for-kids-d58c24b35d__img_03.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
