evidence_id,shop_domain,Handle,product_id,media_id,image_location,image_number,variant,image_url,image_url_export,identity_status,shared_media_references,viewed_status,viewed_at,observed_visual_details,alt_current,alt_proposed,alt_action,review_status,revision,approved_by,approved_at,approved_fields,approved_revision,evidence_file_or_reference,issues
B028-271,chillgen.com,custom-octopus-shaped-area-rug-sea-monster-tentacle-0753b2605a,15913340567921,80878451753329,GALLERY_PUBLIC_CDN,1,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/17c68198d987f5fa6e22bcc5659b741ed9893011ab938f469f3b771bbb7234ce.jpg?v=1784376301,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:52:09+07:00,wave octopus shaped rug on wood floor,,wave octopus shaped rug on wood floor,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B028/custom-octopus-shaped-area-rug-sea-monster-tentacle-0753b2605a__img_01.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B028-271,chillgen.com,custom-octopus-shaped-area-rug-sea-monster-tentacle-0753b2605a,15913340567921,80878451786097,GALLERY_PUBLIC_CDN,2,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/e608f8744c605a6777f91de19f866cb72d678a0d203400f3c0308819258045fe.jpg?v=1784376305,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:52:09+07:00,octopus wave rug product view,,octopus wave rug product view,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B028/custom-octopus-shaped-area-rug-sea-monster-tentacle-0753b2605a__img_02.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B028-271,chillgen.com,custom-octopus-shaped-area-rug-sea-monster-tentacle-0753b2605a,15913340567921,80878451818865,GALLERY_PUBLIC_CDN,3,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/9e414157e8b3685fbf42f327ccafa15a3caa9a63d50b3b38518f6b294fc644bb.jpg?v=1784376306,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:52:09+07:00,sea monster tentacle rug room view,,sea monster tentacle rug room view,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B028/custom-octopus-shaped-area-rug-sea-monster-tentacle-0753b2605a__img_03.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B028-271,chillgen.com,custom-octopus-shaped-area-rug-sea-monster-tentacle-0753b2605a,15913340567921,80878451851633,GALLERY_PUBLIC_CDN,4,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/2b1a828c9b586a453398c84d15e605905691e1a9ede3418219b649afd5bbd266.jpg?v=1784376311,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:52:09+07:00,custom shape octopus rug feature panel,,custom shape octopus rug feature panel,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B028/custom-octopus-shaped-area-rug-sea-monster-tentacle-0753b2605a__img_04.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B028-271,chillgen.com,custom-octopus-shaped-area-rug-sea-monster-tentacle-0753b2605a,15913340567921,80878451884401,GALLERY_PUBLIC_CDN,5,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/fd82d4f1d27368eb36dafcecba631efa4f707d9b903f5c3d954c1907f09081d8.jpg?v=1784376311,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:52:09+07:00,wave octopus rug in living room,,wave octopus rug in living room,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B028/custom-octopus-shaped-area-rug-sea-monster-tentacle-0753b2605a__img_05.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B028-271,chillgen.com,custom-octopus-shaped-area-rug-sea-monster-tentacle-0753b2605a,15913340567921,80878451917169,GALLERY_PUBLIC_CDN,6,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/9c0f1bdc3977ccfca5e4e52d69db79ba591a881e202a9f9554b58ac7e94207bb.jpg?v=1784376316,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:52:09+07:00,layered backing detail for octopus rug,,layered backing detail for octopus rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B028/custom-octopus-shaped-area-rug-sea-monster-tentacle-0753b2605a__img_06.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B028-271,chillgen.com,custom-octopus-shaped-area-rug-sea-monster-tentacle-0753b2605a,15913340567921,80878451949937,GALLERY_PUBLIC_CDN,7,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/ddd18d64322f2d59624160239ca37a70f3b80d6ae71187253c70743119559d07.jpg?v=1784376317,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:52:09+07:00,octopus shaped rug size chart,,octopus shaped rug size chart,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B028/custom-octopus-shaped-area-rug-sea-monster-tentacle-0753b2605a__img_07.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B028-272,chillgen.com,custom-octopus-sea-monster-welcome-mat-c69579f5ed,15913340993905,80878453162353,GALLERY_PUBLIC_CDN,1,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/6d6fe66d6c8084d04de2050cbad3ef67e1b00ccbb94180fd3d1ae4605ea05d96.jpg?v=1784376263,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:52:09+07:00,red porthole octopus rug on wood floor,,red porthole octopus rug on wood floor,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B028/custom-octopus-sea-monster-welcome-mat-c69579f5ed__img_01.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B028-272,chillgen.com,custom-octopus-sea-monster-welcome-mat-c69579f5ed,15913340993905,80878453195121,GALLERY_PUBLIC_CDN,2,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/636ec068d1cc790bb746b4b1b71b6a0675c5c37d180c218c7c17eaf8bf97d5ca.jpg?v=1784376268,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:52:09+07:00,porthole octopus rug product view,,porthole octopus rug product view,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B028/custom-octopus-sea-monster-welcome-mat-c69579f5ed__img_02.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B028-272,chillgen.com,custom-octopus-sea-monster-welcome-mat-c69579f5ed,15913340993905,80878453227889,GALLERY_PUBLIC_CDN,3,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/92c8100433a94be939a86d84deebf552e8925fbf4d4f935a65224396a99c91f1.jpg?v=1784376268,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:52:09+07:00,custom shape octopus rug feature panel,,custom shape octopus rug feature panel,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B028/custom-octopus-sea-monster-welcome-mat-c69579f5ed__img_03.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B028-272,chillgen.com,custom-octopus-sea-monster-welcome-mat-c69579f5ed,15913340993905,80878453260657,GALLERY_PUBLIC_CDN,4,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/661cd7a51c91c793ad280643561c7e25e8ac1edb7f08f9c8b97559fb00518cce.jpg?v=1784376273,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:52:09+07:00,red octopus shaped rug room view,,red octopus shaped rug room view,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B028/custom-octopus-sea-monster-welcome-mat-c69579f5ed__img_04.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
