evidence_id,shop_domain,Handle,product_id,media_id,image_location,image_number,variant,image_url,image_url_export,identity_status,shared_media_references,viewed_status,viewed_at,observed_visual_details,alt_current,alt_proposed,alt_action,review_status,revision,approved_by,approved_at,approved_fields,approved_revision,evidence_file_or_reference,issues
B038-371,chillgen.com,personalized-christmas-doormat-with-custom-family-name-315531dc75-315531dc75,15913396765041,80878925349233,GALLERY_PUBLIC_CDN,1,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/7162xSFBdGL._SL1500.jpg?v=1784377863,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:36:11+07:00,buffalo plaid Christmas family mat at front door,,buffalo plaid Christmas family mat at front door,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B038/personalized-christmas-doormat-with-custom-family-name-315531dc75-315531dc75__img_01.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B038-371,chillgen.com,personalized-christmas-doormat-with-custom-family-name-315531dc75-315531dc75,15913396765041,80878925382001,GALLERY_PUBLIC_CDN,2,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/710tJwHwGeL._SL1500.jpg?v=1784377861,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:36:11+07:00,Christmas mat non-skid backing detail,,Christmas mat non-skid backing detail,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B038/personalized-christmas-doormat-with-custom-family-name-315531dc75-315531dc75__img_02.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B038-371,chillgen.com,personalized-christmas-doormat-with-custom-family-name-315531dc75-315531dc75,15913396765041,80878925414769,GALLERY_PUBLIC_CDN,3,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/71SYVlQVX4L._SL1500.jpg?v=1784377867,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:36:11+07:00,personalized Christmas family mat held,,personalized Christmas family mat held,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B038/personalized-christmas-doormat-with-custom-family-name-315531dc75-315531dc75__img_03.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B038-371,chillgen.com,personalized-christmas-doormat-with-custom-family-name-315531dc75-315531dc75,15913396765041,80878925447537,GALLERY_PUBLIC_CDN,4,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/71elU8TcVrL._SL1500.jpg?v=1784377868,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:36:11+07:00,buffalo plaid holiday mat flat view,,buffalo plaid holiday mat flat view,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B038/personalized-christmas-doormat-with-custom-family-name-315531dc75-315531dc75__img_04.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B038-371,chillgen.com,personalized-christmas-doormat-with-custom-family-name-315531dc75-315531dc75,15913396765041,80878925480305,GALLERY_PUBLIC_CDN,5,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/71rkb1cKn7L._SL1500.jpg?v=1784377872,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:36:11+07:00,Christmas monogram mat by white door,,Christmas monogram mat by white door,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B038/personalized-christmas-doormat-with-custom-family-name-315531dc75-315531dc75__img_05.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B038-371,chillgen.com,personalized-christmas-doormat-with-custom-family-name-315531dc75-315531dc75,15913396765041,80878925513073,GALLERY_PUBLIC_CDN,6,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/71SylYMgREL._SL1500.jpg?v=1784377874,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:36:11+07:00,holiday family mat on wood floor,,holiday family mat on wood floor,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B038/personalized-christmas-doormat-with-custom-family-name-315531dc75-315531dc75__img_06.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B038-371,chillgen.com,personalized-christmas-doormat-with-custom-family-name-315531dc75-315531dc75,15913396765041,80878925545841,GALLERY_PUBLIC_CDN,7,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/71EfKd1GlUL._SL1500.jpg?v=1784377877,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:36:11+07:00,Christmas doormat by entry door,,Christmas doormat by entry door,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B038/personalized-christmas-doormat-with-custom-family-name-315531dc75-315531dc75__img_07.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B038-371,chillgen.com,personalized-christmas-doormat-with-custom-family-name-315531dc75-315531dc75,15913396765041,80878925578609,GALLERY_PUBLIC_CDN,8,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/71nkeblCAWL._SL1500.jpg?v=1784377879,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:36:11+07:00,buffalo plaid Christmas mat beside bed,,buffalo plaid Christmas mat beside bed,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B038/personalized-christmas-doormat-with-custom-family-name-315531dc75-315531dc75__img_08.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B038-372,chillgen.com,custom-road-map-play-mat-rug-38a585717c-38a585717c,15913397289329,80878931018097,GALLERY_PUBLIC_CDN,1,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/dfcf684e0c136068839f2e18ba54143aaecd7cb35f3ae68ffa1a5cf0b8fa574a.jpg?v=1784368453,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:36:11+07:00,personalized town road map rug flat view,,personalized town road map rug flat view,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B038/custom-road-map-play-mat-rug-38a585717c-38a585717c__img_01.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B038-372,chillgen.com,custom-road-map-play-mat-rug-38a585717c-38a585717c,15913397289329,80878931050865,GALLERY_PUBLIC_CDN,2,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/ad5950b19c7e1b70eebcff60965e89ddcbbc645422633e9604f1c00c253ccaa5.jpg?v=1784368453,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:36:11+07:00,town road map rug size options,,town road map rug size options,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B038/custom-road-map-play-mat-rug-38a585717c-38a585717c__img_02.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B038-372,chillgen.com,custom-road-map-play-mat-rug-38a585717c-38a585717c,15913397289329,80878931083633,GALLERY_PUBLIC_CDN,3,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/3e616ff41c0a7c95521ab0d6e6adea7e164a8ff048cfb97c4d949c60df799359.jpg?v=1784368458,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:36:11+07:00,road map rug in classroom,,road map rug in classroom,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B038/custom-road-map-play-mat-rug-38a585717c-38a585717c__img_03.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
