evidence_id,shop_domain,Handle,product_id,media_id,image_location,image_number,variant,image_url,image_url_export,identity_status,shared_media_references,viewed_status,viewed_at,observed_visual_details,alt_current,alt_proposed,alt_action,review_status,revision,approved_by,approved_at,approved_fields,approved_revision,evidence_file_or_reference,issues
B011-101,chillgen.com,personalized-teacher-classroom-rug-custom-back-to-school-welcome-mat,15969302446449,81244361294193,GALLERY_PUBLIC_CDN,1,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/0252c420e77969b7773c7184f197dfd51697a86b07e0c928cd2d698e788945e2.jpg?v=1786646330,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T02:35:56+07:00,personalized classroom affirmation welcome rug in classroom,,personalized classroom affirmation welcome rug in classroom,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B011/personalized-teacher-classroom-rug-custom-back-to-school-welcome-mat__img_01.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B011-101,chillgen.com,personalized-teacher-classroom-rug-custom-back-to-school-welcome-mat,15969302446449,81244361326961,GALLERY_PUBLIC_CDN,2,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/5004e8b7842c2dbed56f0a7e62eb5e210d2b8a2d440623f3a57ad56266a9ef4f.jpg?v=1786646329,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T02:35:56+07:00,size chart for custom classroom welcome rug,,size chart for custom classroom welcome rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B011/personalized-teacher-classroom-rug-custom-back-to-school-welcome-mat__img_02.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B011-101,chillgen.com,personalized-teacher-classroom-rug-custom-back-to-school-welcome-mat,15969302446449,81244361359729,GALLERY_PUBLIC_CDN,3,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/7a84eed18009522098a1ae2135aef2fa21311e76c16e111fe786d41e8d04074a.jpg?v=1786646330,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T02:35:56+07:00,close angled view of classroom affirmation rug,,close angled view of classroom affirmation rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B011/personalized-teacher-classroom-rug-custom-back-to-school-welcome-mat__img_03.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B011-101,chillgen.com,personalized-teacher-classroom-rug-custom-back-to-school-welcome-mat,15969302446449,81244361392497,GALLERY_PUBLIC_CDN,4,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/ec522d6a9022a9cd363b403f3ade369cd1ab1f9dda67ee3b55d81c892d366e5f.jpg?v=1786646329,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T02:35:56+07:00,teacher-name welcome rug beside desks,,teacher-name welcome rug beside desks,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B011/personalized-teacher-classroom-rug-custom-back-to-school-welcome-mat__img_04.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B011-101,chillgen.com,personalized-teacher-classroom-rug-custom-back-to-school-welcome-mat,15969302446449,81244361425265,GALLERY_PUBLIC_CDN,5,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/3da3bf266619bfc71280582a2f8bdef59eb27a27f0ed9fd0f6fee7f958b695a2.jpg?v=1786646329,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T02:35:56+07:00,custom classroom welcome mat in home classroom,,custom classroom welcome mat in home classroom,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B011/personalized-teacher-classroom-rug-custom-back-to-school-welcome-mat__img_05.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B011-101,chillgen.com,personalized-teacher-classroom-rug-custom-back-to-school-welcome-mat,15969302446449,81244361458033,GALLERY_PUBLIC_CDN,6,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/26ff6e54fc28c299a27d20aafdc054a556f041dc891afa515167b8aae2716661.jpg?v=1786646329,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T02:35:56+07:00,teacher with students on affirmation welcome rug,,teacher with students on affirmation welcome rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B011/personalized-teacher-classroom-rug-custom-back-to-school-welcome-mat__img_06.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B011-101,chillgen.com,personalized-teacher-classroom-rug-custom-back-to-school-welcome-mat,15969302446449,81244361490801,GALLERY_PUBLIC_CDN,7,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/a674732cd22dd8b3d395c94d7e6dca85341ee1031de0b7d222322f32ee6eee45.jpg?v=1786646329,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T02:35:56+07:00,large classroom mockup of personalized welcome rug,,large classroom mockup of personalized welcome rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B011/personalized-teacher-classroom-rug-custom-back-to-school-welcome-mat__img_07.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B011-101,chillgen.com,personalized-teacher-classroom-rug-custom-back-to-school-welcome-mat,15969302446449,81244361523569,GALLERY_PUBLIC_CDN,8,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/7f1e8d698641a0e9181cae4300d55e3969c33a3f0e05c6f1356061ddb5864c3d.jpg?v=1786646330,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T02:35:56+07:00,machine washable vacuum cleaner graphic for classroom rug,,machine washable vacuum cleaner graphic for classroom rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B011/personalized-teacher-classroom-rug-custom-back-to-school-welcome-mat__img_08.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B011-101,chillgen.com,personalized-teacher-classroom-rug-custom-back-to-school-welcome-mat,15969302446449,81244361556337,GALLERY_PUBLIC_CDN,9,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/5c33264dded8c5b0801018b706b27bf393e81cedba7c67be4f981647d58f6496.jpg?v=1786646329,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T02:35:56+07:00,material and non-slip backing detail for welcome rug,,material and non-slip backing detail for welcome rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B011/personalized-teacher-classroom-rug-custom-back-to-school-welcome-mat__img_09.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B011-102,chillgen.com,personalized-teacher-classroom-rug-custom-back-to-school-design-100,15969302511985,81244362408305,GALLERY_PUBLIC_CDN,1,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/32e3703b5ff52dc03324b6e1f99f09b7a64a7cc319a41cac9341e6a96cdbc4e9.jpg?v=1786646344,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T02:35:56+07:00,it's okay classroom rug in classroom mockup,,it's okay classroom rug in classroom mockup,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B011/personalized-teacher-classroom-rug-custom-back-to-school-design-100__img_01.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B011-102,chillgen.com,personalized-teacher-classroom-rug-custom-back-to-school-design-100,15969302511985,81244362441073,GALLERY_PUBLIC_CDN,2,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/9bd9fa6d63b479d5c887c76c8adcf7773eb1fa9f042d67217af6579bb3edcc79.jpg?v=1786646344,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T02:35:56+07:00,size chart for personalized ocean classroom rug,,size chart for personalized ocean classroom rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B011/personalized-teacher-classroom-rug-custom-back-to-school-design-100__img_02.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
