evidence_id,shop_domain,Handle,product_id,media_id,image_location,image_number,variant,image_url,image_url_export,identity_status,shared_media_references,viewed_status,viewed_at,observed_visual_details,alt_current,alt_proposed,alt_action,review_status,revision,approved_by,approved_at,approved_fields,approved_revision,evidence_file_or_reference,issues
B044-431,chillgen.com,custom-octopus-shaped-area-rug-0acb5a8130-0acb5a8130,15913338995057,80878441824625,GALLERY_PUBLIC_CDN,1,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/aa0cdc2173827fc055be2248d3cf43f55058560154e5cfa0f1fa36225486272f.jpg?v=1784376339,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T05:05:15+07:00,Red octopus shaped rug on dark wood floor with wood plank frame art,,Red octopus shaped rug on dark wood floor with wood plank frame art,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B044/custom-octopus-shaped-area-rug-0acb5a8130-0acb5a8130__img_01.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B044-431,chillgen.com,custom-octopus-shaped-area-rug-0acb5a8130-0acb5a8130,15913338995057,80878441857393,GALLERY_PUBLIC_CDN,2,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/cf13fd7996d83d4deba6e7f49bf9c549ce38d5844ef919c94a6db4ec9567117d.jpg?v=1784376343,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T05:05:15+07:00,Isolated red octopus shaped rug with curled tentacles,,Isolated red octopus shaped rug with curled tentacles,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B044/custom-octopus-shaped-area-rug-0acb5a8130-0acb5a8130__img_02.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B044-431,chillgen.com,custom-octopus-shaped-area-rug-0acb5a8130-0acb5a8130,15913338995057,80878441890161,GALLERY_PUBLIC_CDN,3,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/b83e98c98f8771b014efc978c68b53b828e0863550fcbd53b74eed84cd6a8740.jpg?v=1784376344,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T05:05:15+07:00,Angled room view of red octopus rug near leather chair,,Angled room view of red octopus rug near leather chair,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B044/custom-octopus-shaped-area-rug-0acb5a8130-0acb5a8130__img_03.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B044-431,chillgen.com,custom-octopus-shaped-area-rug-0acb5a8130-0acb5a8130,15913338995057,80878441922929,GALLERY_PUBLIC_CDN,4,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/72857cdd9c9a3270dabd8c2191357e93278971c24c0c65283f63d0c1794a07d7.jpg?v=1784376348,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T05:05:15+07:00,Custom shape area rug feature graphic with velvet and anti-slip callouts,,Custom shape area rug feature graphic with velvet and anti-slip callouts,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B044/custom-octopus-shaped-area-rug-0acb5a8130-0acb5a8130__img_04.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B044-431,chillgen.com,custom-octopus-shaped-area-rug-0acb5a8130-0acb5a8130,15913338995057,80878441955697,GALLERY_PUBLIC_CDN,5,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/0ce40e27f1a0d08083c07e5d14600317f6346d65e246b246eb57463f69b7aa96.jpg?v=1784376349,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T05:05:15+07:00,Red octopus shaped rug in bright living room setting,,Red octopus shaped rug in bright living room setting,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B044/custom-octopus-shaped-area-rug-0acb5a8130-0acb5a8130__img_05.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B044-431,chillgen.com,custom-octopus-shaped-area-rug-0acb5a8130-0acb5a8130,15913338995057,80878441988465,GALLERY_PUBLIC_CDN,6,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/1df28a1ca392570f9aaf585de24d868f4b2f2e1f853a1ab5ac8f909d0bd9b550.jpg?v=1784376353,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T05:05:15+07:00,Layer construction graphic for octopus shaped rug,,Layer construction graphic for octopus shaped rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B044/custom-octopus-shaped-area-rug-0acb5a8130-0acb5a8130__img_06.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B044-431,chillgen.com,custom-octopus-shaped-area-rug-0acb5a8130-0acb5a8130,15913338995057,80878442021233,GALLERY_PUBLIC_CDN,7,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/6518d45005f5ab2118c58d77a028e66a1a555f0d49fd5760fa8f81c169dcb301.jpg?v=1784376355,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T05:05:15+07:00,Size chart for red octopus shaped rug,,Size chart for red octopus shaped rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B044/custom-octopus-shaped-area-rug-0acb5a8130-0acb5a8130__img_07.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B044-431,chillgen.com,custom-octopus-shaped-area-rug-0acb5a8130-0acb5a8130,15913338995057,80878447788401,GALLERY_PUBLIC_CDN,8,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/aa0cdc2173827fc055be2248d3cf43f55058560154e5cfa0f1fa36225486272f_2b031f81-5ac5-410a-af11-5a89d8c09da0.jpg?v=1784376358,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T05:05:15+07:00,Repeated red octopus rug on dark wood floor,,Repeated red octopus rug on dark wood floor,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B044/custom-octopus-shaped-area-rug-0acb5a8130-0acb5a8130__img_08.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B044-431,chillgen.com,custom-octopus-shaped-area-rug-0acb5a8130-0acb5a8130,15913338995057,80878447821169,GALLERY_PUBLIC_CDN,9,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/cf13fd7996d83d4deba6e7f49bf9c549ce38d5844ef919c94a6db4ec9567117d_31ada184-f058-490b-81a3-f010b45459d3.jpg?v=1784376361,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T05:05:15+07:00,Repeated isolated red octopus shaped rug,,Repeated isolated red octopus shaped rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B044/custom-octopus-shaped-area-rug-0acb5a8130-0acb5a8130__img_09.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B044-431,chillgen.com,custom-octopus-shaped-area-rug-0acb5a8130-0acb5a8130,15913338995057,80878447853937,GALLERY_PUBLIC_CDN,10,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/b83e98c98f8771b014efc978c68b53b828e0863550fcbd53b74eed84cd6a8740_68ac6941-89d2-4a38-9573-389f3ad6192b.jpg?v=1784376364,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T05:05:15+07:00,Repeated angled room view of red octopus rug,,Repeated angled room view of red octopus rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B044/custom-octopus-shaped-area-rug-0acb5a8130-0acb5a8130__img_10.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B044-431,chillgen.com,custom-octopus-shaped-area-rug-0acb5a8130-0acb5a8130,15913338995057,80878447886705,GALLERY_PUBLIC_CDN,11,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/72857cdd9c9a3270dabd8c2191357e93278971c24c0c65283f63d0c1794a07d7_39dc8087-1ed9-4acf-bfe5-488414d9c63c.jpg?v=1784376366,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T05:05:15+07:00,Repeated custom shape area rug feature graphic,,Repeated custom shape area rug feature graphic,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B044/custom-octopus-shaped-area-rug-0acb5a8130-0acb5a8130__img_11.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
