evidence_id,shop_domain,Handle,product_id,media_id,image_location,image_number,variant,image_url,image_url_export,identity_status,shared_media_references,viewed_status,viewed_at,observed_visual_details,alt_current,alt_proposed,alt_action,review_status,revision,approved_by,approved_at,approved_fields,approved_revision,evidence_file_or_reference,issues
B010-091,chillgen.com,personalized-calming-corner-rug-for-classroom-custom-tea-design-103,15913411412337,80879040070001,GALLERY_PUBLIC_CDN,1,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/ef9e0b2e7b9e2630a3486167aee563629a862db5ec5145fdec94eeda55c6f59c.jpg?v=1784368315,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T02:31:42+07:00,safe space classroom rug with colorful hearts,,safe space classroom rug with colorful hearts,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B010/personalized-calming-corner-rug-for-classroom-custom-tea-design-103__img_01.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B010-091,chillgen.com,personalized-calming-corner-rug-for-classroom-custom-tea-design-103,15913411412337,80879040102769,GALLERY_PUBLIC_CDN,2,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/4d3010851e3bf3c985a7b7af08b630108daeaa7312d39ef214913f3032f44972.jpg?v=1784368319,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T02:31:42+07:00,personalized safe space rug in room mockup,,personalized safe space rug in room mockup,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B010/personalized-calming-corner-rug-for-classroom-custom-tea-design-103__img_02.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B010-091,chillgen.com,personalized-calming-corner-rug-for-classroom-custom-tea-design-103,15913411412337,80879040135537,GALLERY_PUBLIC_CDN,3,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/4a533cd7de45c4fb9f86a35db0ff0e2db5c6c988e6033a760d6d7b47b17bcb1a.jpg?v=1784368321,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T02:31:42+07:00,teacher-name safe space rug in playroom scene,,teacher-name safe space rug in playroom scene,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B010/personalized-calming-corner-rug-for-classroom-custom-tea-design-103__img_03.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B010-091,chillgen.com,personalized-calming-corner-rug-for-classroom-custom-tea-design-103,15913411412337,80879040168305,GALLERY_PUBLIC_CDN,4,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/4802cb2491e22732662e45d41096fe62542da9aa6bb32228892f69b4c1f599ab.jpg?v=1784368324,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T02:31:42+07:00,safe space classroom rug with storage cubbies,,safe space classroom rug with storage cubbies,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B010/personalized-calming-corner-rug-for-classroom-custom-tea-design-103__img_04.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B010-091,chillgen.com,personalized-calming-corner-rug-for-classroom-custom-tea-design-103,15913411412337,80879040201073,GALLERY_PUBLIC_CDN,5,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/e6ba2387a1b51e1ea6d534eb03c41979c1f21b28ca2f5fe03d3108c0a9001e89.jpg?v=1784368326,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T02:31:42+07:00,thickened bound edge graphic for safe space rug,,thickened bound edge graphic for safe space rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B010/personalized-calming-corner-rug-for-classroom-custom-tea-design-103__img_05.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B010-091,chillgen.com,personalized-calming-corner-rug-for-classroom-custom-tea-design-103,15913411412337,80879040233841,GALLERY_PUBLIC_CDN,6,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/b04402abcf07bf58635a80b74bb65a910ea0680731c9453bd5f2e9b9e7c4bbfd.jpg?v=1784368330,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T02:31:42+07:00,child playing on personalized safe space rug,,child playing on personalized safe space rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B010/personalized-calming-corner-rug-for-classroom-custom-tea-design-103__img_06.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B010-091,chillgen.com,personalized-calming-corner-rug-for-classroom-custom-tea-design-103,15913411412337,80879040266609,GALLERY_PUBLIC_CDN,7,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/f6504519d894fd284e22a52bc2af08362c89148f372b3af4c1fe658bb8631220.jpg?v=1784368332,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T02:31:42+07:00,children lying on safe space classroom rug,,children lying on safe space classroom rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B010/personalized-calming-corner-rug-for-classroom-custom-tea-design-103__img_07.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B010-091,chillgen.com,personalized-calming-corner-rug-for-classroom-custom-tea-design-103,15913411412337,80879040299377,GALLERY_PUBLIC_CDN,8,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/0e79ef09a29ceacf6e9f6360fd50562a905521d53a5e613e5402d061a143c10b.jpg?v=1784368335,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T02:31:42+07:00,teacher with students on safe space rug,,teacher with students on safe space rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B010/personalized-calming-corner-rug-for-classroom-custom-tea-design-103__img_08.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B010-091,chillgen.com,personalized-calming-corner-rug-for-classroom-custom-tea-design-103,15913411412337,81245242687857,GALLERY_PUBLIC_CDN,9,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/b9036dfe16e809231af04ce5c70639d809c0acbf01a70933d6250a31913eabe3.jpg?v=1786649962,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T02:31:42+07:00,safe space rug viewed from above in classroom,,safe space rug viewed from above in classroom,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B010/personalized-calming-corner-rug-for-classroom-custom-tea-design-103__img_09.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B010-091,chillgen.com,personalized-calming-corner-rug-for-classroom-custom-tea-design-103,15913411412337,81245242720625,GALLERY_PUBLIC_CDN,10,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/d31827924724b57eea7900fd31646ea5e44b200c3055e8dc9b958a800469b5fe.jpg?v=1786649962,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T02:31:42+07:00,custom teacher-name safe space rug in home room,,custom teacher-name safe space rug in home room,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B010/personalized-calming-corner-rug-for-classroom-custom-tea-design-103__img_10.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B010-091,chillgen.com,personalized-calming-corner-rug-for-classroom-custom-tea-design-103,15913411412337,81245242753393,GALLERY_PUBLIC_CDN,11,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/39ad630869ffa6d359f32a73648b26b80a2e22e27d48e552b8244b6e6e491d11.jpg?v=1786649962,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T02:31:42+07:00,safe space rug in child playroom mockup,,safe space rug in child playroom mockup,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B010/personalized-calming-corner-rug-for-classroom-custom-tea-design-103__img_11.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
