evidence_id,shop_domain,Handle,product_id,media_id,image_location,image_number,variant,image_url,image_url_export,identity_status,shared_media_references,viewed_status,viewed_at,observed_visual_details,alt_current,alt_proposed,alt_action,review_status,revision,approved_by,approved_at,approved_fields,approved_revision,evidence_file_or_reference,issues
B036-351,chillgen.com,custom-road-map-area-rug-81bfb9cda4-81bfb9cda4,15913398206833,80878938128753,GALLERY_PUBLIC_CDN,1,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/2beea6d0af4ebc9c93a5ad8c637343552f157167b967c394a1f28229cbda239e.jpg?v=1784368426,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:26:39+07:00,custom kids road map rug in classroom,,custom kids road map rug in classroom,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B036/custom-road-map-area-rug-81bfb9cda4-81bfb9cda4__img_01.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B036-351,chillgen.com,custom-road-map-area-rug-81bfb9cda4-81bfb9cda4,15913398206833,80878938161521,GALLERY_PUBLIC_CDN,2,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/1b4568e4cd0220ae4090cdf53000c1ae4b512b6478f3e0a055cae714076c2539.jpg?v=1784368429,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:26:39+07:00,personalized road map rug size options,,personalized road map rug size options,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B036/custom-road-map-area-rug-81bfb9cda4-81bfb9cda4__img_02.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B036-351,chillgen.com,custom-road-map-area-rug-81bfb9cda4-81bfb9cda4,15913398206833,80878938194289,GALLERY_PUBLIC_CDN,3,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/20a67c32fa9e5fd1bbf8ba369fb9f739291a1536a8bb7ef99cd0f51df4a73e18.jpg?v=1784368431,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:26:39+07:00,road map rug in classroom corner,,road map rug in classroom corner,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B036/custom-road-map-area-rug-81bfb9cda4-81bfb9cda4__img_03.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B036-351,chillgen.com,custom-road-map-area-rug-81bfb9cda4-81bfb9cda4,15913398206833,80878938227057,GALLERY_PUBLIC_CDN,4,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/e731d90406f58541d8e076fdfb00c7c8b14820ac969f592ff2339fa9995bb7df.jpg?v=1784368435,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:26:39+07:00,city road play rug in playroom,,city road play rug in playroom,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B036/custom-road-map-area-rug-81bfb9cda4-81bfb9cda4__img_04.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B036-351,chillgen.com,custom-road-map-area-rug-81bfb9cda4-81bfb9cda4,15913398206833,80878938259825,GALLERY_PUBLIC_CDN,5,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/40bf7dc303f4a4581f14b9e89e2b0e45fc98d5c8b97318090ab896a4b0f3d942.jpg?v=1784368437,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:26:39+07:00,road map classroom rug between tables,,road map classroom rug between tables,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B036/custom-road-map-area-rug-81bfb9cda4-81bfb9cda4__img_05.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B036-351,chillgen.com,custom-road-map-area-rug-81bfb9cda4-81bfb9cda4,15913398206833,80878938292593,GALLERY_PUBLIC_CDN,6,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/c7893d8bb6ff845c425389cc65ae2275c411ca308fc1adf3491c1ec8361ffb4b.jpg?v=1784368441,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:26:39+07:00,kids road map rug in bedroom play space,,kids road map rug in bedroom play space,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B036/custom-road-map-area-rug-81bfb9cda4-81bfb9cda4__img_06.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B036-351,chillgen.com,custom-road-map-area-rug-81bfb9cda4-81bfb9cda4,15913398206833,80878938325361,GALLERY_PUBLIC_CDN,7,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/1b30bbe282d854581beced09310938df21aa27eb8eaf7d4c52dfdf1c4923eeb5.jpg?v=1784368442,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:26:39+07:00,children sitting on road map play rug,,children sitting on road map play rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B036/custom-road-map-area-rug-81bfb9cda4-81bfb9cda4__img_07.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B036-351,chillgen.com,custom-road-map-area-rug-81bfb9cda4-81bfb9cda4,15913398206833,80878938358129,GALLERY_PUBLIC_CDN,8,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/7cb02579e818850f6210086c1b7dd6f7adefe29f6034396c428af9e78f63ae5e.jpg?v=1784368447,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:26:39+07:00,road map rug material and backing details,,road map rug material and backing details,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B036/custom-road-map-area-rug-81bfb9cda4-81bfb9cda4__img_08.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B036-351,chillgen.com,custom-road-map-area-rug-81bfb9cda4-81bfb9cda4,15913398206833,80878938390897,GALLERY_PUBLIC_CDN,9,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/162c136a36c7612d57820307614ad37b3d57507447933c60283441bf7b229892.jpg?v=1784368448,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:26:39+07:00,washable road map rug cleaning panel,,washable road map rug cleaning panel,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B036/custom-road-map-area-rug-81bfb9cda4-81bfb9cda4__img_09.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B036-352,chillgen.com,custom-galaxy-wolves-rug-boy-room-bedroom-167aea55b4,15913364226417,80878704623985,GALLERY_PUBLIC_CDN,1,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/ac6097a39d18939b819c60f178d80396b34660c377e6db5539f927f3f1ee02ca.jpg?v=1784383425,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:26:39+07:00,foggy forest wolf rug beside sofa,,foggy forest wolf rug beside sofa,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B036/custom-galaxy-wolves-rug-boy-room-bedroom-167aea55b4__img_01.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B036-352,chillgen.com,custom-galaxy-wolves-rug-boy-room-bedroom-167aea55b4,15913364226417,80878704656753,GALLERY_PUBLIC_CDN,2,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/c6d670fa2a396c1f4c601a5ff96a3216663333e7d6d74149121fcfd6bc52b2ae.jpg?v=1784383430,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:26:39+07:00,dark wolf rug on wood floor,,dark wolf rug on wood floor,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B036/custom-galaxy-wolves-rug-boy-room-bedroom-167aea55b4__img_02.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B036-352,chillgen.com,custom-galaxy-wolves-rug-boy-room-bedroom-167aea55b4,15913364226417,80878704689521,GALLERY_PUBLIC_CDN,3,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/86dfddc396b7cbdb595b87786a1bc18e4ac702ad2de9f9d7e5934acf103c7e94.jpg?v=1784383430,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:26:39+07:00,foggy wolf rug in living room,,foggy wolf rug in living room,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B036/custom-galaxy-wolves-rug-boy-room-bedroom-167aea55b4__img_03.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
