evidence_id,product_url,reviewed_at,sources_accessed,current_H1,current_meta_title,short_source_excerpt,verified_product_facts,gallery_image_count,images_viewed_count,image_audit_references,SERP_evidence_references,buyer_research_references,factual_conflicts,processing_status,confidence_and_reason,fact_to_source_map,proposed_field_to_fact_map
B018-171,https://chillgen.com/products/personalized-family-couple-doormat-custom-couple-husband-design-04,2026-09-07T03:07:41+07:00,https://chillgen.com/products/personalized-family-couple-doormat-custom-couple-husband-design-04; evidence/products/B018_products.json; seo_runs/chillgen.com/chillgen_20260907_01/evidence/products/B018_pages/personalized-family-couple-doormat-custom-couple-husband-design-04.html; https://www.amazon.com/Last-Name-Doormat/s?k=Last+Name+Doormat; https://www.etsy.com/market/custom_doormat_for_couple; https://www.amazon.com/CAPOZEN-Feelings-Chart-Emotions-Classroom/dp/B0D8LB1KLV; https://app.lillio.com/learning/child-activities/activity/feelings-chart-for-calming-corner; https://mentalhealthcenterkids.com/blogs/articles/calm-down-corner-printables; https://www.walmart.com/c/kp/soccer-rug; https://www.amazon.com/Championship-Tournament-Football-Non-Slip-Washable/dp/B0GY98GYX4; https://chillgen.com/,"Personalized Family Couple Doormat, Custom Couple Husband - Design 04","Personalized Family Couple Doormat, Custom – - Design 04","This custom doormat offers a personal touch to any home entrance, perfect for couples and families. Featuring personalized designs such as family names or couple illustrations, it transforms an ordinary doorway into a unique welcome. Designed for both aesthetic appeal and practical use, this doormat creates a warm and inviting atmosphere for guests. Product Highlights Customizable with family names or couple illustrations for a unique touch. Crafted with a textured top for effective dirt scraping. Features a non-slip rubber backing to ensure stability. Suitable for everyday decor or festive ho","blue and tan rectangular doormat with cartoon couple portraits, quote about a lovely lady and a grumpy old man living here, custom names, entryway and dog mockups, size guide, absorbent easy-clean icons and non-skid rubber backing detail; HTTP 200; canonical=https://chillgen.com/products/personalized-family-couple-doormat-custom-couple-husband-design-04; product type=Rug; variants=4; images=7.",7,7,B018-171-IMG01; B018-171-IMG02; B018-171-IMG03; B018-171-IMG04; B018-171-IMG05; B018-171-IMG06; B018-171-IMG07,https://www.amazon.com/Last-Name-Doormat/s?k=Last+Name+Doormat; https://www.etsy.com/market/custom_doormat_for_couple; https://www.amazon.com/CAPOZEN-Feelings-Chart-Emotions-Classroom/dp/B0D8LB1KLV; https://app.lillio.com/learning/child-activities/activity/feelings-chart-for-calming-corner; https://mentalhealthcenterkids.com/blogs/articles/calm-down-corner-printables; https://www.walmart.com/c/kp/soccer-rug; https://www.amazon.com/Championship-Tournament-Football-Non-Slip-Washable/dp/B0GY98GYX4; https://chillgen.com/,B018-171-BR01,None observed in public data; admin values unknown.,DRAFTED,"MEDIUM: rendered page, product JSON, and images verified; keyword demand has SERP-only evidence and no volume data.",product facts=B018_products.json and B018_pages HTML; visuals=B018 local images/contact sheets; keyword context=SERP references.,motif and visible product context to title/meta/alt; care/backing/material only where page/image evidence supports.
B018-172,https://chillgen.com/products/personalized-family-couple-doormat-custom-couple-husband-design-02,2026-09-07T03:07:41+07:00,https://chillgen.com/products/personalized-family-couple-doormat-custom-couple-husband-design-02; evidence/products/B018_products.json; seo_runs/chillgen.com/chillgen_20260907_01/evidence/products/B018_pages/personalized-family-couple-doormat-custom-couple-husband-design-02.html; https://www.amazon.com/Last-Name-Doormat/s?k=Last+Name+Doormat; https://www.etsy.com/market/custom_doormat_for_couple; https://www.amazon.com/CAPOZEN-Feelings-Chart-Emotions-Classroom/dp/B0D8LB1KLV; https://app.lillio.com/learning/child-activities/activity/feelings-chart-for-calming-corner; https://mentalhealthcenterkids.com/blogs/articles/calm-down-corner-printables; https://www.walmart.com/c/kp/soccer-rug; https://www.amazon.com/Championship-Tournament-Football-Non-Slip-Washable/dp/B0GY98GYX4; https://chillgen.com/,"Personalized Family Couple Doormat, Custom Couple Husband - Design 02","Personalized Family Couple Doormat, Custom – - Design 02","This custom couple doormat offers a warm, personal welcome, allowing you to add a family name or custom characters. It transforms any doorway into a unique and inviting entry point. Made with a textured surface for scraping dirt and a durable non-slip rubber backing, this doormat combines functionality with personalized charm. Product Highlights Customizable with family name or couple characters for a unique touch. Features a textured top for effective dirt scraping. Equipped with a non-slip rubber backing to ensure stability. Suitable for everyday decor or festive holiday themes. Versatile fo","brown rectangular personalized doormat with cartoon couple seated together, welcome text, hope you like animals and kids because it is a zoo inside quote, custom names, entryway mockups, size guide and non-skid backing detail; HTTP 200; canonical=https://chillgen.com/products/personalized-family-couple-doormat-custom-couple-husband-design-02; product type=Rug; variants=4; images=7.",7,7,B018-172-IMG01; B018-172-IMG02; B018-172-IMG03; B018-172-IMG04; B018-172-IMG05; B018-172-IMG06; B018-172-IMG07,https://www.amazon.com/Last-Name-Doormat/s?k=Last+Name+Doormat; https://www.etsy.com/market/custom_doormat_for_couple; https://www.amazon.com/CAPOZEN-Feelings-Chart-Emotions-Classroom/dp/B0D8LB1KLV; https://app.lillio.com/learning/child-activities/activity/feelings-chart-for-calming-corner; https://mentalhealthcenterkids.com/blogs/articles/calm-down-corner-printables; https://www.walmart.com/c/kp/soccer-rug; https://www.amazon.com/Championship-Tournament-Football-Non-Slip-Washable/dp/B0GY98GYX4; https://chillgen.com/,B018-172-BR01,None observed in public data; admin values unknown.,DRAFTED,"MEDIUM: rendered page, product JSON, and images verified; keyword demand has SERP-only evidence and no volume data.",product facts=B018_products.json and B018_pages HTML; visuals=B018 local images/contact sheets; keyword context=SERP references.,motif and visible product context to title/meta/alt; care/backing/material only where page/image evidence supports.
B018-173,https://chillgen.com/products/personalized-family-couple-doormat-custom-couple-husband-wife-doormat,2026-09-07T03:07:41+07:00,https://chillgen.com/products/personalized-family-couple-doormat-custom-couple-husband-wife-doormat; evidence/products/B018_products.json; seo_runs/chillgen.com/chillgen_20260907_01/evidence/products/B018_pages/personalized-family-couple-doormat-custom-couple-husband-wife-doormat.html; https://www.amazon.com/Last-Name-Doormat/s?k=Last+Name+Doormat; https://www.etsy.com/market/custom_doormat_for_couple; https://www.amazon.com/CAPOZEN-Feelings-Chart-Emotions-Classroom/dp/B0D8LB1KLV; https://app.lillio.com/learning/child-activities/activity/feelings-chart-for-calming-corner; https://mentalhealthcenterkids.com/blogs/articles/calm-down-corner-printables; https://www.walmart.com/c/kp/soccer-rug; https://www.amazon.com/Championship-Tournament-Football-Non-Slip-Washable/dp/B0GY98GYX4; https://chillgen.com/,"Personalized Family Couple Doormat, Custom Couple Husband Wife Doormat","Personalized Family Couple Doormat, – Husband Wife Doormat","This custom doormat offers a warm, personal welcome, allowing for the addition of family names, couple characters, or personalized designs. It is designed to transform any doorway into a unique greeting point, perfect for various festive occasions or as a thoughtful gift. Product Highlights Features personalized designs for couples and families. Suitable for everyday home décor and holiday decorating. Equipped with a textured top and non-slip rubber backing. Easy to clean by shaking, vacuuming, or wiping. Ideal for front doors, patios, kitchens, or apartment entries. Specifications Attribute V","navy and tan welcome doormat with hearts, cartoon husband and wife portraits, custom names, phrase a lovely lady and her grumpy old man live here, entryway dog mockup, size guide, multi-room use graphic and rubber backing detail; HTTP 200; canonical=https://chillgen.com/products/personalized-family-couple-doormat-custom-couple-husband-wife-doormat; product type=Rug; variants=3; images=7.",7,7,B018-173-IMG01; B018-173-IMG02; B018-173-IMG03; B018-173-IMG04; B018-173-IMG05; B018-173-IMG06; B018-173-IMG07,https://www.amazon.com/Last-Name-Doormat/s?k=Last+Name+Doormat; https://www.etsy.com/market/custom_doormat_for_couple; https://www.amazon.com/CAPOZEN-Feelings-Chart-Emotions-Classroom/dp/B0D8LB1KLV; https://app.lillio.com/learning/child-activities/activity/feelings-chart-for-calming-corner; https://mentalhealthcenterkids.com/blogs/articles/calm-down-corner-printables; https://www.walmart.com/c/kp/soccer-rug; https://www.amazon.com/Championship-Tournament-Football-Non-Slip-Washable/dp/B0GY98GYX4; https://chillgen.com/,B018-173-BR01,None observed in public data; admin values unknown.,DRAFTED,"MEDIUM: rendered page, product JSON, and images verified; keyword demand has SERP-only evidence and no volume data.",product facts=B018_products.json and B018_pages HTML; visuals=B018 local images/contact sheets; keyword context=SERP references.,motif and visible product context to title/meta/alt; care/backing/material only where page/image evidence supports.
B018-174,https://chillgen.com/products/abc-kids-play-rug-non-slip-classroom-carpet-07621e8f46-07621e8f46,2026-09-07T03:07:41+07:00,https://chillgen.com/products/abc-kids-play-rug-non-slip-classroom-carpet-07621e8f46-07621e8f46; evidence/products/B018_products.json; seo_runs/chillgen.com/chillgen_20260907_01/evidence/products/B018_pages/abc-kids-play-rug-non-slip-classroom-carpet-07621e8f46-07621e8f46.html; https://www.amazon.com/Last-Name-Doormat/s?k=Last+Name+Doormat; https://www.etsy.com/market/custom_doormat_for_couple; https://www.amazon.com/CAPOZEN-Feelings-Chart-Emotions-Classroom/dp/B0D8LB1KLV; https://app.lillio.com/learning/child-activities/activity/feelings-chart-for-calming-corner; https://mentalhealthcenterkids.com/blogs/articles/calm-down-corner-printables; https://www.walmart.com/c/kp/soccer-rug; https://www.amazon.com/Championship-Tournament-Football-Non-Slip-Washable/dp/B0GY98GYX4; https://chillgen.com/,ABC Kids Play Rug with Animal Letter Pattern and Non Slip Backing for Playrooms,ABC Kids Play Rug with Animal Letters and Non Slip Backing,"This educational play rug is designed for imaginative learning and everyday activities. Featuring a vibrant animal and letter pattern, it encourages storytelling, exploration, and creativity in toddlers and young children. The soft low-pile construction provides a comfortable, cushioned surface for reading, crawling, and playing indoors. Product Highlights Vibrant educational pattern featuring animals and letters to inspire interactive learning Soft crystal velvet fabric provides a comfortable, cushioned feel for indoor play Reliable non-slip backing helps keep the rug stable and reduces unwan","large colorful rectangular kids rug with A-Z animal letter blocks, numbers, colors, shapes and arrows, playroom mockups, perfect size panel, cleaning instructions, waterproof note, non-slip backing and classroom learning graphics; HTTP 200; canonical=https://chillgen.com/products/abc-kids-play-rug-non-slip-classroom-carpet-07621e8f46-07621e8f46; product type=Rug; variants=4; images=9.",9,9,B018-174-IMG01; B018-174-IMG02; B018-174-IMG03; B018-174-IMG04; B018-174-IMG05; B018-174-IMG06; B018-174-IMG07; B018-174-IMG08; B018-174-IMG09,https://www.amazon.com/Last-Name-Doormat/s?k=Last+Name+Doormat; https://www.etsy.com/market/custom_doormat_for_couple; https://www.amazon.com/CAPOZEN-Feelings-Chart-Emotions-Classroom/dp/B0D8LB1KLV; https://app.lillio.com/learning/child-activities/activity/feelings-chart-for-calming-corner; https://mentalhealthcenterkids.com/blogs/articles/calm-down-corner-printables; https://www.walmart.com/c/kp/soccer-rug; https://www.amazon.com/Championship-Tournament-Football-Non-Slip-Washable/dp/B0GY98GYX4; https://chillgen.com/,B018-174-BR01,None observed in public data; admin values unknown.,DRAFTED,"MEDIUM: rendered page, product JSON, and images verified; keyword demand has SERP-only evidence and no volume data.",product facts=B018_products.json and B018_pages HTML; visuals=B018 local images/contact sheets; keyword context=SERP references.,motif and visible product context to title/meta/alt; care/backing/material only where page/image evidence supports.
B018-175,https://chillgen.com/products/custom-feelings-chart-classroom-welcome-mat-45af89adb4-45af89adb4,2026-09-07T03:07:41+07:00,https://chillgen.com/products/custom-feelings-chart-classroom-welcome-mat-45af89adb4-45af89adb4; evidence/products/B018_products.json; seo_runs/chillgen.com/chillgen_20260907_01/evidence/products/B018_pages/custom-feelings-chart-classroom-welcome-mat-45af89adb4-45af89adb4.html; https://www.amazon.com/Last-Name-Doormat/s?k=Last+Name+Doormat; https://www.etsy.com/market/custom_doormat_for_couple; https://www.amazon.com/CAPOZEN-Feelings-Chart-Emotions-Classroom/dp/B0D8LB1KLV; https://app.lillio.com/learning/child-activities/activity/feelings-chart-for-calming-corner; https://mentalhealthcenterkids.com/blogs/articles/calm-down-corner-printables; https://www.walmart.com/c/kp/soccer-rug; https://www.amazon.com/Championship-Tournament-Football-Non-Slip-Washable/dp/B0GY98GYX4; https://chillgen.com/,Feelings Chart Classroom Area Rug for Emotional Learning and Calming Corners,Feelings Chart Classroom Rug for Emotional Learning,"Create a supportive and inviting learning environment with this specialized educational area rug. Featuring an engaging feelings chart design, it serves as an excellent mental health tool and calming corner resource for children. It offers a soft, comfortable surface that is both functional and decorative, making it the perfect addition to early education settings. Product Highlights Educational feelings chart design to help children identify and process emotions Soft and comfortable memory foam construction with a cozy sponge interlayer Highly anti-skid backing for secure placement without th","cream rectangular feelings rug with all feelings are welcome here text, rainbow graphics, labeled emotion faces such as happy angry sad excited jealous tired worried and frustrated, classroom and living room mockups, thickened rounded edges and child group scenes; HTTP 200; canonical=https://chillgen.com/products/custom-feelings-chart-classroom-welcome-mat-45af89adb4-45af89adb4; product type=Rug; variants=3; images=8.",8,8,B018-175-IMG01; B018-175-IMG02; B018-175-IMG03; B018-175-IMG04; B018-175-IMG05; B018-175-IMG06; B018-175-IMG07; B018-175-IMG08,https://www.amazon.com/Last-Name-Doormat/s?k=Last+Name+Doormat; https://www.etsy.com/market/custom_doormat_for_couple; https://www.amazon.com/CAPOZEN-Feelings-Chart-Emotions-Classroom/dp/B0D8LB1KLV; https://app.lillio.com/learning/child-activities/activity/feelings-chart-for-calming-corner; https://mentalhealthcenterkids.com/blogs/articles/calm-down-corner-printables; https://www.walmart.com/c/kp/soccer-rug; https://www.amazon.com/Championship-Tournament-Football-Non-Slip-Washable/dp/B0GY98GYX4; https://chillgen.com/,B018-175-BR01,None observed in public data; admin values unknown.,DRAFTED,"MEDIUM: rendered page, product JSON, and images verified; keyword demand has SERP-only evidence and no volume data.",product facts=B018_products.json and B018_pages HTML; visuals=B018 local images/contact sheets; keyword context=SERP references.,motif and visible product context to title/meta/alt; care/backing/material only where page/image evidence supports.
B018-176,https://chillgen.com/products/custom-hundred-acre-wood-map-welcome-mat-23388cf0b9-23388cf0b9,2026-09-07T03:07:41+07:00,https://chillgen.com/products/custom-hundred-acre-wood-map-welcome-mat-23388cf0b9-23388cf0b9; evidence/products/B018_products.json; seo_runs/chillgen.com/chillgen_20260907_01/evidence/products/B018_pages/custom-hundred-acre-wood-map-welcome-mat-23388cf0b9-23388cf0b9.html; https://www.amazon.com/Last-Name-Doormat/s?k=Last+Name+Doormat; https://www.etsy.com/market/custom_doormat_for_couple; https://www.amazon.com/CAPOZEN-Feelings-Chart-Emotions-Classroom/dp/B0D8LB1KLV; https://app.lillio.com/learning/child-activities/activity/feelings-chart-for-calming-corner; https://mentalhealthcenterkids.com/blogs/articles/calm-down-corner-printables; https://www.walmart.com/c/kp/soccer-rug; https://www.amazon.com/Championship-Tournament-Football-Non-Slip-Washable/dp/B0GY98GYX4; https://chillgen.com/,Custom Hundred Acre Wood Map Area Rug for Kids Room and Playroom Decor,Custom Hundred Acre Wood Map Rug for Kids Room Decor,"This delightful area rug features a detailed map design of the magical Hundred Acre Wood, a land full of adventures and good friends. Designed to bring warmth and imagination to your living space, this rug serves as both a cozy floor covering and an engaging decorative piece. It is crafted to support custom personalization, making it a truly unique addition to your home decor. Product Highlights Features an enchanting Hundred Acre Wood map design Supports custom personalized rug options Soft fluffy surface with high-grade velvet and sponge memory foam Equipped with an anti-skid high-quality ep","cream rectangular storybook map rug with illustrated forest, paths, labeled locations, compass marks and trees, bedroom living room and nursery mockups, size guide, anti-slip backing comparison, soft microfiber material panels and low pile durable edge details; HTTP 200; canonical=https://chillgen.com/products/custom-hundred-acre-wood-map-welcome-mat-23388cf0b9-23388cf0b9; product type=Rug; variants=3; images=10.",10,10,B018-176-IMG01; B018-176-IMG02; B018-176-IMG03; B018-176-IMG04; B018-176-IMG05; B018-176-IMG06; B018-176-IMG07; B018-176-IMG08; B018-176-IMG09; B018-176-IMG10,https://www.amazon.com/Last-Name-Doormat/s?k=Last+Name+Doormat; https://www.etsy.com/market/custom_doormat_for_couple; https://www.amazon.com/CAPOZEN-Feelings-Chart-Emotions-Classroom/dp/B0D8LB1KLV; https://app.lillio.com/learning/child-activities/activity/feelings-chart-for-calming-corner; https://mentalhealthcenterkids.com/blogs/articles/calm-down-corner-printables; https://www.walmart.com/c/kp/soccer-rug; https://www.amazon.com/Championship-Tournament-Football-Non-Slip-Washable/dp/B0GY98GYX4; https://chillgen.com/,B018-176-BR01,None observed in public data; admin values unknown.,DRAFTED,"MEDIUM: rendered page, product JSON, and images verified; keyword demand has SERP-only evidence and no volume data.",product facts=B018_products.json and B018_pages HTML; visuals=B018 local images/contact sheets; keyword context=SERP references.,motif and visible product context to title/meta/alt; care/backing/material only where page/image evidence supports.
B018-177,https://chillgen.com/products/educational-classroom-rug-alphabet-handwriting-samplers-17817a1b4c-17817a1b4c,2026-09-07T03:07:41+07:00,https://chillgen.com/products/educational-classroom-rug-alphabet-handwriting-samplers-17817a1b4c-17817a1b4c; evidence/products/B018_products.json; seo_runs/chillgen.com/chillgen_20260907_01/evidence/products/B018_pages/educational-classroom-rug-alphabet-handwriting-samplers-17817a1b4c-17817a1b4c.html; https://www.amazon.com/Last-Name-Doormat/s?k=Last+Name+Doormat; https://www.etsy.com/market/custom_doormat_for_couple; https://www.amazon.com/CAPOZEN-Feelings-Chart-Emotions-Classroom/dp/B0D8LB1KLV; https://app.lillio.com/learning/child-activities/activity/feelings-chart-for-calming-corner; https://mentalhealthcenterkids.com/blogs/articles/calm-down-corner-printables; https://www.walmart.com/c/kp/soccer-rug; https://www.amazon.com/Championship-Tournament-Football-Non-Slip-Washable/dp/B0GY98GYX4; https://chillgen.com/,Alphabet Classroom Area Rug with Handwriting Guide for Preschool Learning,Alphabet Classroom Rug with Handwriting Learning Guide,"Create an engaging and educational environment with this vibrant classroom area rug, specifically designed to support learning and development. Featuring a colorful educational alphabet pattern, this floor mat is perfect for preschool, Pre-K, and elementary spaces. It provides a comfortable and interactive area where kids can learn their letters, practice handwriting samplers, or play with toys. Product Highlights Features a colorful educational alphabet and handwriting print designed for classrooms and playrooms. Constructed with a soft top layer of non-woven fabric and a comfortable memory f","black rectangular alphabet rug with colorful uppercase handwriting-style letters A-Z, school icons, animals and pencils, classroom mockups, compact foldable non-slip feature panel, tightly bound edges and anti-slip backing graphic; HTTP 200; canonical=https://chillgen.com/products/educational-classroom-rug-alphabet-handwriting-samplers-17817a1b4c-17817a1b4c; product type=Rug; variants=3; images=6.",6,6,B018-177-IMG01; B018-177-IMG02; B018-177-IMG03; B018-177-IMG04; B018-177-IMG05; B018-177-IMG06,https://www.amazon.com/Last-Name-Doormat/s?k=Last+Name+Doormat; https://www.etsy.com/market/custom_doormat_for_couple; https://www.amazon.com/CAPOZEN-Feelings-Chart-Emotions-Classroom/dp/B0D8LB1KLV; https://app.lillio.com/learning/child-activities/activity/feelings-chart-for-calming-corner; https://mentalhealthcenterkids.com/blogs/articles/calm-down-corner-printables; https://www.walmart.com/c/kp/soccer-rug; https://www.amazon.com/Championship-Tournament-Football-Non-Slip-Washable/dp/B0GY98GYX4; https://chillgen.com/,B018-177-BR01,None observed in public data; admin values unknown.,DRAFTED,"MEDIUM: rendered page, product JSON, and images verified; keyword demand has SERP-only evidence and no volume data.",product facts=B018_products.json and B018_pages HTML; visuals=B018 local images/contact sheets; keyword context=SERP references.,motif and visible product context to title/meta/alt; care/backing/material only where page/image evidence supports.
B018-178,https://chillgen.com/products/colorful-classroom-rug-for-kids-and-teachers-940ca1aee9-940ca1aee9,2026-09-07T03:07:41+07:00,https://chillgen.com/products/colorful-classroom-rug-for-kids-and-teachers-940ca1aee9-940ca1aee9; evidence/products/B018_products.json; seo_runs/chillgen.com/chillgen_20260907_01/evidence/products/B018_pages/colorful-classroom-rug-for-kids-and-teachers-940ca1aee9-940ca1aee9.html; https://www.amazon.com/Last-Name-Doormat/s?k=Last+Name+Doormat; https://www.etsy.com/market/custom_doormat_for_couple; https://www.amazon.com/CAPOZEN-Feelings-Chart-Emotions-Classroom/dp/B0D8LB1KLV; https://app.lillio.com/learning/child-activities/activity/feelings-chart-for-calming-corner; https://mentalhealthcenterkids.com/blogs/articles/calm-down-corner-printables; https://www.walmart.com/c/kp/soccer-rug; https://www.amazon.com/Championship-Tournament-Football-Non-Slip-Washable/dp/B0GY98GYX4; https://chillgen.com/,Feeling Chart Classroom Area Rug for Emotional Learning and Playrooms,Feeling Chart Classroom Rug for Emotional Learning,"Create a vibrant and engaging learning environment with this colorful educational rug. Designed specifically for classrooms, playrooms, and kids' rooms, it features a theme focused on emotional management and educational play. This durable mat serves as both a practical floor covering and a functional teaching tool, making it the perfect addition for back-to-school season. Product Highlights Vibrant emotional management feeling chart print ideal for classroom learning Constructed with a soft memory foam and sponge interlayer for comfortable play Extremely anti-skid backing eliminates the need ","white rectangular classroom rug with What Zone Are You In text, blue green yellow and red emotion zones with faces and labels, playroom and classroom mockups, teacher-child use scene, thickened edge panel, anti-slip backing and cleaning method visuals; HTTP 200; canonical=https://chillgen.com/products/colorful-classroom-rug-for-kids-and-teachers-940ca1aee9-940ca1aee9; product type=Rug; variants=3; images=9.",9,9,B018-178-IMG01; B018-178-IMG02; B018-178-IMG03; B018-178-IMG04; B018-178-IMG05; B018-178-IMG06; B018-178-IMG07; B018-178-IMG08; B018-178-IMG09,https://www.amazon.com/Last-Name-Doormat/s?k=Last+Name+Doormat; https://www.etsy.com/market/custom_doormat_for_couple; https://www.amazon.com/CAPOZEN-Feelings-Chart-Emotions-Classroom/dp/B0D8LB1KLV; https://app.lillio.com/learning/child-activities/activity/feelings-chart-for-calming-corner; https://mentalhealthcenterkids.com/blogs/articles/calm-down-corner-printables; https://www.walmart.com/c/kp/soccer-rug; https://www.amazon.com/Championship-Tournament-Football-Non-Slip-Washable/dp/B0GY98GYX4; https://chillgen.com/,B018-178-BR01,None observed in public data; admin values unknown.,DRAFTED,"MEDIUM: rendered page, product JSON, and images verified; keyword demand has SERP-only evidence and no volume data.",product facts=B018_products.json and B018_pages HTML; visuals=B018 local images/contact sheets; keyword context=SERP references.,motif and visible product context to title/meta/alt; care/backing/material only where page/image evidence supports.
B018-179,https://chillgen.com/products/custom-soccer-championship-trophy-round-rug-f7ac8bf3d4-f7ac8bf3d4,2026-09-07T03:07:41+07:00,https://chillgen.com/products/custom-soccer-championship-trophy-round-rug-f7ac8bf3d4-f7ac8bf3d4; evidence/products/B018_products.json; seo_runs/chillgen.com/chillgen_20260907_01/evidence/products/B018_pages/custom-soccer-championship-trophy-round-rug-f7ac8bf3d4-f7ac8bf3d4.html; https://www.amazon.com/Last-Name-Doormat/s?k=Last+Name+Doormat; https://www.etsy.com/market/custom_doormat_for_couple; https://www.amazon.com/CAPOZEN-Feelings-Chart-Emotions-Classroom/dp/B0D8LB1KLV; https://app.lillio.com/learning/child-activities/activity/feelings-chart-for-calming-corner; https://mentalhealthcenterkids.com/blogs/articles/calm-down-corner-printables; https://www.walmart.com/c/kp/soccer-rug; https://www.amazon.com/Championship-Tournament-Football-Non-Slip-Washable/dp/B0GY98GYX4; https://chillgen.com/,Custom Soccer Flags Round Rug with Low Pile Surface for Bedroom and Game Room,Custom Soccer Flags Round Rug with Low Pile Surface,"Celebrate the excitement of the global soccer season with this Soccer Championship Round Rug. Designed with trophy-inspired elements and host nation themes, this piece brings the energetic spirit of international sports competition directly into your home. It features a soft surface combined with practical elements, making it an excellent addition for passionate fans who want to showcase their love for the game. Product Highlights Features bold trophy visuals and designs inspired by tournament host nations. Supports customized details to create a personalized sports theme. Constructed with low","round cream soccer rug with trophy, soccer ball, Canada USA Mexico text, united as one slogan, stars, fireworks, flag border, room mockups, size guide, nonslip detail graphic and superior quality backing panel; HTTP 200; canonical=https://chillgen.com/products/custom-soccer-championship-trophy-round-rug-f7ac8bf3d4-f7ac8bf3d4; product type=Rug; variants=5; images=8.",8,8,B018-179-IMG01; B018-179-IMG02; B018-179-IMG03; B018-179-IMG04; B018-179-IMG05; B018-179-IMG06; B018-179-IMG07; B018-179-IMG08,https://www.amazon.com/Last-Name-Doormat/s?k=Last+Name+Doormat; https://www.etsy.com/market/custom_doormat_for_couple; https://www.amazon.com/CAPOZEN-Feelings-Chart-Emotions-Classroom/dp/B0D8LB1KLV; https://app.lillio.com/learning/child-activities/activity/feelings-chart-for-calming-corner; https://mentalhealthcenterkids.com/blogs/articles/calm-down-corner-printables; https://www.walmart.com/c/kp/soccer-rug; https://www.amazon.com/Championship-Tournament-Football-Non-Slip-Washable/dp/B0GY98GYX4; https://chillgen.com/,B018-179-BR01,None observed in public data; admin values unknown.,DRAFTED,"MEDIUM: rendered page, product JSON, and images verified; keyword demand has SERP-only evidence and no volume data.",product facts=B018_products.json and B018_pages HTML; visuals=B018 local images/contact sheets; keyword context=SERP references.,motif and visible product context to title/meta/alt; care/backing/material only where page/image evidence supports.
B018-180,https://chillgen.com/products/custom-soccer-championship-round-rug-6b6ea4fbf7,2026-09-07T03:07:41+07:00,https://chillgen.com/products/custom-soccer-championship-round-rug-6b6ea4fbf7; evidence/products/B018_products.json; seo_runs/chillgen.com/chillgen_20260907_01/evidence/products/B018_pages/custom-soccer-championship-round-rug-6b6ea4fbf7.html; https://www.amazon.com/Last-Name-Doormat/s?k=Last+Name+Doormat; https://www.etsy.com/market/custom_doormat_for_couple; https://www.amazon.com/CAPOZEN-Feelings-Chart-Emotions-Classroom/dp/B0D8LB1KLV; https://app.lillio.com/learning/child-activities/activity/feelings-chart-for-calming-corner; https://mentalhealthcenterkids.com/blogs/articles/calm-down-corner-printables; https://www.walmart.com/c/kp/soccer-rug; https://www.amazon.com/Championship-Tournament-Football-Non-Slip-Washable/dp/B0GY98GYX4; https://chillgen.com/,Custom Soccer Tournament Round Rug with Memory Foam for Living Room,Custom Soccer Tournament Round Rug with Memory Foam,"Celebrate the excitement of the global soccer season with this Soccer Championship Round Rug. Designed with trophy-inspired elements and international themes, this rug brings the energy and pride of world competition directly into your home. It is the perfect decor accent for passionate sports fans who want to showcase their love for the game in a bold and stylish way. Product Highlights Inspired by the global soccer tournament with bold trophy visuals. Features a comfortable low pile height made of soft memory foam fabric. Equipped with a non-slip backing for added safety and floor grip. Desi","round colorful soccer rug with large trophy, soccer ball, scoreboard, stadium lights, country flags including USA Canada Mexico, world game 2026 text, room mockups, size guide, nonslip detail and TPR backing quality panel; HTTP 200; canonical=https://chillgen.com/products/custom-soccer-championship-round-rug-6b6ea4fbf7; product type=Rug; variants=5; images=8.",8,8,B018-180-IMG01; B018-180-IMG02; B018-180-IMG03; B018-180-IMG04; B018-180-IMG05; B018-180-IMG06; B018-180-IMG07; B018-180-IMG08,https://www.amazon.com/Last-Name-Doormat/s?k=Last+Name+Doormat; https://www.etsy.com/market/custom_doormat_for_couple; https://www.amazon.com/CAPOZEN-Feelings-Chart-Emotions-Classroom/dp/B0D8LB1KLV; https://app.lillio.com/learning/child-activities/activity/feelings-chart-for-calming-corner; https://mentalhealthcenterkids.com/blogs/articles/calm-down-corner-printables; https://www.walmart.com/c/kp/soccer-rug; https://www.amazon.com/Championship-Tournament-Football-Non-Slip-Washable/dp/B0GY98GYX4; https://chillgen.com/,B018-180-BR01,None observed in public data; admin values unknown.,DRAFTED,"MEDIUM: rendered page, product JSON, and images verified; keyword demand has SERP-only evidence and no volume data.",product facts=B018_products.json and B018_pages HTML; visuals=B018 local images/contact sheets; keyword context=SERP references.,motif and visible product context to title/meta/alt; care/backing/material only where page/image evidence supports.
