evidence_id,product_url,reviewed_at,sources_accessed,current_H1,current_meta_title,short_source_excerpt,verified_product_facts,gallery_image_count,images_viewed_count,image_audit_references,SERP_evidence_references,buyer_research_references,factual_conflicts,processing_status,confidence_and_reason,fact_to_source_map,proposed_field_to_fact_map
B016-151,https://chillgen.com/products/custom-halloween-3d-optical-illusion-round-rug-skeleton-h-design-112,2026-09-07T02:59:39+07:00,https://chillgen.com/products/custom-halloween-3d-optical-illusion-round-rug-skeleton-h-design-112; evidence/products/B016_products.json; seo_runs/chillgen.com/chillgen_20260907_01/evidence/products/B016_pages/custom-halloween-3d-optical-illusion-round-rug-skeleton-h-design-112.html; https://www.etsy.com/market/christian_prayer_rug; https://www.etsy.com/market/eastern_orthodox_prayer_rug; https://www.etsy.com/market/religious_icon_rug; https://www.amazon.com/orthodox-christian-prayer-rug/s?k=orthodox+christian+prayer+rug; https://www.walmart.com/ip/3D-Optical-Illusion-Halloween-Round-Rug-Funny-Pumpkin-Skeleton-Ghost-Pattern-Non-Slip-Circular-Floor-Mat-Holiday-Decorative-Area-Carpet-For-Entryway/20876518947; https://www.ebay.com/itm/398303951687; https://chillgen.com/,Custom Halloween 3D Optical Illusion Round Rug Skeleton H - Design 112,Custom Halloween 3D Optical Illusion Round – - Design 112,"Tạo không khí rợn tóc gáy với tấm thảm tròn ảo ảnh quang học 3D Halloween này. Với hình ảnh bộ xương chân thực bò ra từ hố đá sâu, thiết kế bắt mắt này mang lại chiều sâu thị giác ấn tượng cho không gian của bạn. Hoàn hảo cho các bữa tiệc Halloween, nhà ma, phòng khách, phòng chơi game và trang trí nhà theo mùa. Điểm nổi bật của sản phẩm Ảo ảnh quang học 3D sống động tạo hình bộ xương trèo ra từ hố sâu. Thêm nét trang trí vui nhộn cho các bữa tiệc Halloween và sự kiện theo chủ đề. Bề mặt mềm mại, thoải mái để đứng, đi lại hoặc thư giãn. Món quà độc đáo cho những người đam mê Halloween và phim ","round Halloween rug with smiling jack-o-lantern wearing a black witch hat, orange fall leaves, web border, teal and orange background, room mockups, size guide, non-slip TPR backing and foldable material graphics; HTTP 200; canonical=https://chillgen.com/products/custom-halloween-3d-optical-illusion-round-rug-skeleton-h-design-112; product type=Rug; variants=5; images=8.",8,8,B016-151-IMG01; B016-151-IMG02; B016-151-IMG03; B016-151-IMG04; B016-151-IMG05; B016-151-IMG06; B016-151-IMG07; B016-151-IMG08,https://www.etsy.com/market/christian_prayer_rug; https://www.etsy.com/market/eastern_orthodox_prayer_rug; https://www.etsy.com/market/religious_icon_rug; https://www.amazon.com/orthodox-christian-prayer-rug/s?k=orthodox+christian+prayer+rug; https://www.walmart.com/ip/3D-Optical-Illusion-Halloween-Round-Rug-Funny-Pumpkin-Skeleton-Ghost-Pattern-Non-Slip-Circular-Floor-Mat-Holiday-Decorative-Area-Carpet-For-Entryway/20876518947; https://www.ebay.com/itm/398303951687; https://chillgen.com/,B016-151-BR01,None observed in public data; admin values unknown.,DRAFTED,"MEDIUM: rendered page, product JSON, and images verified; keyword demand has SERP-only evidence and no volume data.",product facts=B016_products.json and B016_pages HTML; visuals=B016 local images/contact sheets; keyword context=SERP references.,motif and visible product context to title/meta/alt; care/backing/material only where page/image evidence supports.
B016-152,https://chillgen.com/products/custom-halloween-3d-optical-illusion-round-rug-skeleton-h-design-113,2026-09-07T02:59:39+07:00,https://chillgen.com/products/custom-halloween-3d-optical-illusion-round-rug-skeleton-h-design-113; evidence/products/B016_products.json; seo_runs/chillgen.com/chillgen_20260907_01/evidence/products/B016_pages/custom-halloween-3d-optical-illusion-round-rug-skeleton-h-design-113.html; https://www.etsy.com/market/christian_prayer_rug; https://www.etsy.com/market/eastern_orthodox_prayer_rug; https://www.etsy.com/market/religious_icon_rug; https://www.amazon.com/orthodox-christian-prayer-rug/s?k=orthodox+christian+prayer+rug; https://www.walmart.com/ip/3D-Optical-Illusion-Halloween-Round-Rug-Funny-Pumpkin-Skeleton-Ghost-Pattern-Non-Slip-Circular-Floor-Mat-Holiday-Decorative-Area-Carpet-For-Entryway/20876518947; https://www.ebay.com/itm/398303951687; https://chillgen.com/,Custom Halloween 3D Optical Illusion Round Rug Skeleton H - Design 113,Custom Halloween 3D Optical Illusion Round – - Design 113,"This Halloween 3D Optical Illusion Round Rug creates a spine-chilling atmosphere with its unique design. Featuring a realistic skeleton climbing from a deep stone pit, this eye-catching area rug brings dramatic visual depth to your space. It's a fun and striking addition to any seasonal decor, offering both comfort and a bold statement piece. Product Highlights Features a striking 3D optical illusion of a skeleton emerging from a stone pit. Perfect for Halloween parties, haunted houses, and themed events. Provides a soft and comfortable surface for standing or walking. Designed for everyday in","round rug with hooded grim reaper holding a candle in a misty cemetery, tombstones, bats, pumpkins, blue gray background, room mockups, size guide, non-slip backing and close-up design panels; HTTP 200; canonical=https://chillgen.com/products/custom-halloween-3d-optical-illusion-round-rug-skeleton-h-design-113; product type=Rug; variants=5; images=8.",8,8,B016-152-IMG01; B016-152-IMG02; B016-152-IMG03; B016-152-IMG04; B016-152-IMG05; B016-152-IMG06; B016-152-IMG07; B016-152-IMG08,https://www.etsy.com/market/christian_prayer_rug; https://www.etsy.com/market/eastern_orthodox_prayer_rug; https://www.etsy.com/market/religious_icon_rug; https://www.amazon.com/orthodox-christian-prayer-rug/s?k=orthodox+christian+prayer+rug; https://www.walmart.com/ip/3D-Optical-Illusion-Halloween-Round-Rug-Funny-Pumpkin-Skeleton-Ghost-Pattern-Non-Slip-Circular-Floor-Mat-Holiday-Decorative-Area-Carpet-For-Entryway/20876518947; https://www.ebay.com/itm/398303951687; https://chillgen.com/,B016-152-BR01,None observed in public data; admin values unknown.,DRAFTED,"MEDIUM: rendered page, product JSON, and images verified; keyword demand has SERP-only evidence and no volume data.",product facts=B016_products.json and B016_pages HTML; visuals=B016 local images/contact sheets; keyword context=SERP references.,motif and visible product context to title/meta/alt; care/backing/material only where page/image evidence supports.
B016-153,https://chillgen.com/products/custom-halloween-3d-optical-illusion-round-rug-skeleton-h-design-114,2026-09-07T02:59:39+07:00,https://chillgen.com/products/custom-halloween-3d-optical-illusion-round-rug-skeleton-h-design-114; evidence/products/B016_products.json; seo_runs/chillgen.com/chillgen_20260907_01/evidence/products/B016_pages/custom-halloween-3d-optical-illusion-round-rug-skeleton-h-design-114.html; https://www.etsy.com/market/christian_prayer_rug; https://www.etsy.com/market/eastern_orthodox_prayer_rug; https://www.etsy.com/market/religious_icon_rug; https://www.amazon.com/orthodox-christian-prayer-rug/s?k=orthodox+christian+prayer+rug; https://www.walmart.com/ip/3D-Optical-Illusion-Halloween-Round-Rug-Funny-Pumpkin-Skeleton-Ghost-Pattern-Non-Slip-Circular-Floor-Mat-Holiday-Decorative-Area-Carpet-For-Entryway/20876518947; https://www.ebay.com/itm/398303951687; https://chillgen.com/,Custom Halloween 3D Optical Illusion Round Rug Skeleton H - Design 114,Custom Halloween 3D Optical Illusion Round – - Design 114,"This round area rug features a striking 3D optical illusion, portraying a skeleton emerging from a stone pit. It is designed to add dramatic visual depth and create a spooky atmosphere. This rug serves as a captivating centerpiece for Halloween decorations and themed events. Product Highlights Realistic 3D optical illusion with a skeleton design Perfect for Halloween parties and haunted house decor Soft and comfortable surface for various indoor spaces Unique gift for horror fans and gothic decor lovers Easy care for everyday indoor use Specifications Attribute Value Rug Form Area Rug Item Sha","round rug with gothic haunted house, glowing orange windows, pumpkin-lined walkway, bare trees, bats, purple twilight sky, room mockups, size guide, non-slip backing and close-up art panels; HTTP 200; canonical=https://chillgen.com/products/custom-halloween-3d-optical-illusion-round-rug-skeleton-h-design-114; product type=Rug; variants=5; images=8.",8,8,B016-153-IMG01; B016-153-IMG02; B016-153-IMG03; B016-153-IMG04; B016-153-IMG05; B016-153-IMG06; B016-153-IMG07; B016-153-IMG08,https://www.etsy.com/market/christian_prayer_rug; https://www.etsy.com/market/eastern_orthodox_prayer_rug; https://www.etsy.com/market/religious_icon_rug; https://www.amazon.com/orthodox-christian-prayer-rug/s?k=orthodox+christian+prayer+rug; https://www.walmart.com/ip/3D-Optical-Illusion-Halloween-Round-Rug-Funny-Pumpkin-Skeleton-Ghost-Pattern-Non-Slip-Circular-Floor-Mat-Holiday-Decorative-Area-Carpet-For-Entryway/20876518947; https://www.ebay.com/itm/398303951687; https://chillgen.com/,B016-153-BR01,None observed in public data; admin values unknown.,DRAFTED,"MEDIUM: rendered page, product JSON, and images verified; keyword demand has SERP-only evidence and no volume data.",product facts=B016_products.json and B016_pages HTML; visuals=B016 local images/contact sheets; keyword context=SERP references.,motif and visible product context to title/meta/alt; care/backing/material only where page/image evidence supports.
B016-154,https://chillgen.com/products/personalized-orthodox-christian-area-rug-custom-eastern-orthodox,2026-09-07T02:59:39+07:00,https://chillgen.com/products/personalized-orthodox-christian-area-rug-custom-eastern-orthodox; evidence/products/B016_products.json; seo_runs/chillgen.com/chillgen_20260907_01/evidence/products/B016_pages/personalized-orthodox-christian-area-rug-custom-eastern-orthodox.html; https://www.etsy.com/market/christian_prayer_rug; https://www.etsy.com/market/eastern_orthodox_prayer_rug; https://www.etsy.com/market/religious_icon_rug; https://www.amazon.com/orthodox-christian-prayer-rug/s?k=orthodox+christian+prayer+rug; https://www.walmart.com/ip/3D-Optical-Illusion-Halloween-Round-Rug-Funny-Pumpkin-Skeleton-Ghost-Pattern-Non-Slip-Circular-Floor-Mat-Holiday-Decorative-Area-Carpet-For-Entryway/20876518947; https://www.ebay.com/itm/398303951687; https://chillgen.com/,"Personalized Orthodox Christian Area Rug, Custom Eastern Orthodox",Personalized Orthodox Christian – Custom Eastern Orthodox,"This area rug features a traditional Eastern Orthodox three-bar cross design, symbolizing Christ's crucifixion and the Orthodox Christian faith. It offers a meaningful decorative element for various spaces, blending spiritual tradition with home decor. The rug's design and personalization options make it a thoughtful addition to any room. Product Highlights Features a traditional Eastern Orthodox three-bar cross design Personalize with a name or meaningful text for a unique touch Soft and comfortable memory foam material Equipped with non-slip features for stability Reinforced serged edges enh","rectangular navy blue rug with ornate gold Eastern Orthodox cross, gold scroll border, size chart for small medium large, living room and prayer corner mockups, close-up microfiber surface, memory foam cushion and anti-slip backing graphics; HTTP 200; canonical=https://chillgen.com/products/personalized-orthodox-christian-area-rug-custom-eastern-orthodox; product type=Rug; variants=4; images=8.",8,8,B016-154-IMG01; B016-154-IMG02; B016-154-IMG03; B016-154-IMG04; B016-154-IMG05; B016-154-IMG06; B016-154-IMG07; B016-154-IMG08,https://www.etsy.com/market/christian_prayer_rug; https://www.etsy.com/market/eastern_orthodox_prayer_rug; https://www.etsy.com/market/religious_icon_rug; https://www.amazon.com/orthodox-christian-prayer-rug/s?k=orthodox+christian+prayer+rug; https://www.walmart.com/ip/3D-Optical-Illusion-Halloween-Round-Rug-Funny-Pumpkin-Skeleton-Ghost-Pattern-Non-Slip-Circular-Floor-Mat-Holiday-Decorative-Area-Carpet-For-Entryway/20876518947; https://www.ebay.com/itm/398303951687; https://chillgen.com/,B016-154-BR01,None observed in public data; admin values unknown.,DRAFTED,"MEDIUM: rendered page, product JSON, and images verified; keyword demand has SERP-only evidence and no volume data.",product facts=B016_products.json and B016_pages HTML; visuals=B016 local images/contact sheets; keyword context=SERP references.,motif and visible product context to title/meta/alt; care/backing/material only where page/image evidence supports.
B016-155,https://chillgen.com/products/personalized-orthodox-christian-area-rug-custom-eastern-design-100,2026-09-07T02:59:39+07:00,https://chillgen.com/products/personalized-orthodox-christian-area-rug-custom-eastern-design-100; evidence/products/B016_products.json; seo_runs/chillgen.com/chillgen_20260907_01/evidence/products/B016_pages/personalized-orthodox-christian-area-rug-custom-eastern-design-100.html; https://www.etsy.com/market/christian_prayer_rug; https://www.etsy.com/market/eastern_orthodox_prayer_rug; https://www.etsy.com/market/religious_icon_rug; https://www.amazon.com/orthodox-christian-prayer-rug/s?k=orthodox+christian+prayer+rug; https://www.walmart.com/ip/3D-Optical-Illusion-Halloween-Round-Rug-Funny-Pumpkin-Skeleton-Ghost-Pattern-Non-Slip-Circular-Floor-Mat-Holiday-Decorative-Area-Carpet-For-Entryway/20876518947; https://www.ebay.com/itm/398303951687; https://chillgen.com/,"Personalized Orthodox Christian Area Rug, Custom Eastern - Design 100","Personalized Orthodox Christian Area Rug, – - Design 100","This personalized area rug features a traditional Eastern Orthodox three-bar cross design, symbolizing Christ’s crucifixion and Orthodox Christian faith. Rooted in Byzantine tradition, this rug offers a meaningful way to enhance your home décor or serve as a thoughtful religious gift. Its design and personalization options make it a special addition to any room. Product Highlights Features a traditional Eastern Orthodox three-bar cross design. Personalize with a name or meaningful text. Offers comfort and a low pile for easy maintenance. Equipped with non-slip features for stability. Versatile","rectangular red rug with gold Orthodox cross, ornate cream and gold border, floral accents, size chart, living room and prayer mockups, microfiber surface detail, memory foam cushion and non-slip backing graphics; HTTP 200; canonical=https://chillgen.com/products/personalized-orthodox-christian-area-rug-custom-eastern-design-100; product type=Rug; variants=4; images=8.",8,8,B016-155-IMG01; B016-155-IMG02; B016-155-IMG03; B016-155-IMG04; B016-155-IMG05; B016-155-IMG06; B016-155-IMG07; B016-155-IMG08,https://www.etsy.com/market/christian_prayer_rug; https://www.etsy.com/market/eastern_orthodox_prayer_rug; https://www.etsy.com/market/religious_icon_rug; https://www.amazon.com/orthodox-christian-prayer-rug/s?k=orthodox+christian+prayer+rug; https://www.walmart.com/ip/3D-Optical-Illusion-Halloween-Round-Rug-Funny-Pumpkin-Skeleton-Ghost-Pattern-Non-Slip-Circular-Floor-Mat-Holiday-Decorative-Area-Carpet-For-Entryway/20876518947; https://www.ebay.com/itm/398303951687; https://chillgen.com/,B016-155-BR01,None observed in public data; admin values unknown.,DRAFTED,"MEDIUM: rendered page, product JSON, and images verified; keyword demand has SERP-only evidence and no volume data.",product facts=B016_products.json and B016_pages HTML; visuals=B016 local images/contact sheets; keyword context=SERP references.,motif and visible product context to title/meta/alt; care/backing/material only where page/image evidence supports.
B016-156,https://chillgen.com/products/personalized-orthodox-christian-area-rug-custom-eastern-design-101,2026-09-07T02:59:39+07:00,https://chillgen.com/products/personalized-orthodox-christian-area-rug-custom-eastern-design-101; evidence/products/B016_products.json; seo_runs/chillgen.com/chillgen_20260907_01/evidence/products/B016_pages/personalized-orthodox-christian-area-rug-custom-eastern-design-101.html; https://www.etsy.com/market/christian_prayer_rug; https://www.etsy.com/market/eastern_orthodox_prayer_rug; https://www.etsy.com/market/religious_icon_rug; https://www.amazon.com/orthodox-christian-prayer-rug/s?k=orthodox+christian+prayer+rug; https://www.walmart.com/ip/3D-Optical-Illusion-Halloween-Round-Rug-Funny-Pumpkin-Skeleton-Ghost-Pattern-Non-Slip-Circular-Floor-Mat-Holiday-Decorative-Area-Carpet-For-Entryway/20876518947; https://www.ebay.com/itm/398303951687; https://chillgen.com/,"Personalized Orthodox Christian Area Rug, Custom Eastern - Design 101","Personalized Orthodox Christian Area Rug, – - Design 101","This area rug features a traditional Eastern Orthodox three-bar cross design, symbolizing Christ’s crucifixion and Orthodox Christian faith. It offers a meaningful way to enhance your home decor or serve as a thoughtful religious gift. This rug combines spiritual significance with practical use in various living spaces. Product Highlights Features a traditional Eastern Orthodox three-bar cross design. Customizable with a name or meaningful text for personalization. Made of excellent quality polypropylene with a low pile for easy care. Reinforced serged edges contribute to its durability. A res","rectangular rug with red Orthodox cross centered on a gold book-like sacred art panel, teal and red ornate border, size guide, room mockups, soft microfiber surface, memory foam cushion and anti-slip backing graphics; HTTP 200; canonical=https://chillgen.com/products/personalized-orthodox-christian-area-rug-custom-eastern-design-101; product type=Rug; variants=4; images=8.",8,8,B016-156-IMG01; B016-156-IMG02; B016-156-IMG03; B016-156-IMG04; B016-156-IMG05; B016-156-IMG06; B016-156-IMG07; B016-156-IMG08,https://www.etsy.com/market/christian_prayer_rug; https://www.etsy.com/market/eastern_orthodox_prayer_rug; https://www.etsy.com/market/religious_icon_rug; https://www.amazon.com/orthodox-christian-prayer-rug/s?k=orthodox+christian+prayer+rug; https://www.walmart.com/ip/3D-Optical-Illusion-Halloween-Round-Rug-Funny-Pumpkin-Skeleton-Ghost-Pattern-Non-Slip-Circular-Floor-Mat-Holiday-Decorative-Area-Carpet-For-Entryway/20876518947; https://www.ebay.com/itm/398303951687; https://chillgen.com/,B016-156-BR01,None observed in public data; admin values unknown.,DRAFTED,"MEDIUM: rendered page, product JSON, and images verified; keyword demand has SERP-only evidence and no volume data.",product facts=B016_products.json and B016_pages HTML; visuals=B016 local images/contact sheets; keyword context=SERP references.,motif and visible product context to title/meta/alt; care/backing/material only where page/image evidence supports.
B016-157,https://chillgen.com/products/personalized-orthodox-christian-area-rug-custom-eastern-design-102,2026-09-07T02:59:39+07:00,https://chillgen.com/products/personalized-orthodox-christian-area-rug-custom-eastern-design-102; evidence/products/B016_products.json; seo_runs/chillgen.com/chillgen_20260907_01/evidence/products/B016_pages/personalized-orthodox-christian-area-rug-custom-eastern-design-102.html; https://www.etsy.com/market/christian_prayer_rug; https://www.etsy.com/market/eastern_orthodox_prayer_rug; https://www.etsy.com/market/religious_icon_rug; https://www.amazon.com/orthodox-christian-prayer-rug/s?k=orthodox+christian+prayer+rug; https://www.walmart.com/ip/3D-Optical-Illusion-Halloween-Round-Rug-Funny-Pumpkin-Skeleton-Ghost-Pattern-Non-Slip-Circular-Floor-Mat-Holiday-Decorative-Area-Carpet-For-Entryway/20876518947; https://www.ebay.com/itm/398303951687; https://chillgen.com/,"Personalized Orthodox Christian Area Rug, Custom Eastern - Design 102","Personalized Orthodox Christian Area Rug, – - Design 102","This area rug features a traditional Eastern Orthodox three-bar cross design, symbolizing Christ's crucifixion and the Orthodox Christian faith. It offers a meaningful way to incorporate spiritual elements into your home decor and can be personalized, making it a thoughtful item for personal use or as a gift. Product Highlights Features a traditional Eastern Orthodox three-bar cross design Offers personalization with a name or meaningful text Provides a soft, comfortable feel underfoot Equipped with non-slip features for secure placement Suitable for various rooms and spiritual occasions Speci","rectangular black rug with gold Orthodox cross and gold ornamental border, size guide, sofa and bright room mockups, woman sitting near fireplace, anti-slip backing graphic and close-up microfiber memory foam detail; HTTP 200; canonical=https://chillgen.com/products/personalized-orthodox-christian-area-rug-custom-eastern-design-102; product type=Rug; variants=4; images=8.",8,8,B016-157-IMG01; B016-157-IMG02; B016-157-IMG03; B016-157-IMG04; B016-157-IMG05; B016-157-IMG06; B016-157-IMG07; B016-157-IMG08,https://www.etsy.com/market/christian_prayer_rug; https://www.etsy.com/market/eastern_orthodox_prayer_rug; https://www.etsy.com/market/religious_icon_rug; https://www.amazon.com/orthodox-christian-prayer-rug/s?k=orthodox+christian+prayer+rug; https://www.walmart.com/ip/3D-Optical-Illusion-Halloween-Round-Rug-Funny-Pumpkin-Skeleton-Ghost-Pattern-Non-Slip-Circular-Floor-Mat-Holiday-Decorative-Area-Carpet-For-Entryway/20876518947; https://www.ebay.com/itm/398303951687; https://chillgen.com/,B016-157-BR01,None observed in public data; admin values unknown.,DRAFTED,"MEDIUM: rendered page, product JSON, and images verified; keyword demand has SERP-only evidence and no volume data.",product facts=B016_products.json and B016_pages HTML; visuals=B016 local images/contact sheets; keyword context=SERP references.,motif and visible product context to title/meta/alt; care/backing/material only where page/image evidence supports.
B016-158,https://chillgen.com/products/personalized-orthodox-christian-area-rug-custom-eastern-design-103,2026-09-07T02:59:39+07:00,https://chillgen.com/products/personalized-orthodox-christian-area-rug-custom-eastern-design-103; evidence/products/B016_products.json; seo_runs/chillgen.com/chillgen_20260907_01/evidence/products/B016_pages/personalized-orthodox-christian-area-rug-custom-eastern-design-103.html; https://www.etsy.com/market/christian_prayer_rug; https://www.etsy.com/market/eastern_orthodox_prayer_rug; https://www.etsy.com/market/religious_icon_rug; https://www.amazon.com/orthodox-christian-prayer-rug/s?k=orthodox+christian+prayer+rug; https://www.walmart.com/ip/3D-Optical-Illusion-Halloween-Round-Rug-Funny-Pumpkin-Skeleton-Ghost-Pattern-Non-Slip-Circular-Floor-Mat-Holiday-Decorative-Area-Carpet-For-Entryway/20876518947; https://www.ebay.com/itm/398303951687; https://chillgen.com/,"Personalized Orthodox Christian Area Rug, Custom Eastern - Design 103","Personalized Orthodox Christian Area Rug, – - Design 103","This area rug features the traditional Eastern Orthodox three-bar cross, symbolizing Christ’s crucifixion and faith rooted in Byzantine tradition. It offers a meaningful design for those who appreciate religious symbolism and can be personalized with a name or text. This rug serves as a respectful decorative piece for various indoor settings. Product Highlights Features a traditional Eastern Orthodox three-bar cross design. Option available to customize with a name or meaningful text. Made with excellent quality polypropylene for easy care. Designed with a low pile and reinforced serged edges ","rectangular burgundy red rug with silver Orthodox cross, yellow and white floral border, size chart, sofa and living room mockups, woman sitting near fireplace, close-up cushion detail and anti-slip backing graphics; HTTP 200; canonical=https://chillgen.com/products/personalized-orthodox-christian-area-rug-custom-eastern-design-103; product type=Rug; variants=4; images=8.",8,8,B016-158-IMG01; B016-158-IMG02; B016-158-IMG03; B016-158-IMG04; B016-158-IMG05; B016-158-IMG06; B016-158-IMG07; B016-158-IMG08,https://www.etsy.com/market/christian_prayer_rug; https://www.etsy.com/market/eastern_orthodox_prayer_rug; https://www.etsy.com/market/religious_icon_rug; https://www.amazon.com/orthodox-christian-prayer-rug/s?k=orthodox+christian+prayer+rug; https://www.walmart.com/ip/3D-Optical-Illusion-Halloween-Round-Rug-Funny-Pumpkin-Skeleton-Ghost-Pattern-Non-Slip-Circular-Floor-Mat-Holiday-Decorative-Area-Carpet-For-Entryway/20876518947; https://www.ebay.com/itm/398303951687; https://chillgen.com/,B016-158-BR01,None observed in public data; admin values unknown.,DRAFTED,"MEDIUM: rendered page, product JSON, and images verified; keyword demand has SERP-only evidence and no volume data.",product facts=B016_products.json and B016_pages HTML; visuals=B016 local images/contact sheets; keyword context=SERP references.,motif and visible product context to title/meta/alt; care/backing/material only where page/image evidence supports.
B016-159,https://chillgen.com/products/personalized-orthodox-christian-area-rug-custom-eastern-design-104,2026-09-07T02:59:39+07:00,https://chillgen.com/products/personalized-orthodox-christian-area-rug-custom-eastern-design-104; evidence/products/B016_products.json; seo_runs/chillgen.com/chillgen_20260907_01/evidence/products/B016_pages/personalized-orthodox-christian-area-rug-custom-eastern-design-104.html; https://www.etsy.com/market/christian_prayer_rug; https://www.etsy.com/market/eastern_orthodox_prayer_rug; https://www.etsy.com/market/religious_icon_rug; https://www.amazon.com/orthodox-christian-prayer-rug/s?k=orthodox+christian+prayer+rug; https://www.walmart.com/ip/3D-Optical-Illusion-Halloween-Round-Rug-Funny-Pumpkin-Skeleton-Ghost-Pattern-Non-Slip-Circular-Floor-Mat-Holiday-Decorative-Area-Carpet-For-Entryway/20876518947; https://www.ebay.com/itm/398303951687; https://chillgen.com/,"Personalized Orthodox Christian Area Rug, Custom Eastern - Design 104","Personalized Orthodox Christian Area Rug, – - Design 104","This area rug features a traditional Eastern Orthodox three-bar cross design, symbolizing Christ’s crucifixion and Orthodox Christian faith. It offers a meaningful decorative element rooted in Byzantine tradition, making it a special addition to any home. The rug can be personalized with a name or text, making it a thoughtful item or gift. Product Highlights Features traditional Eastern Orthodox three-bar cross design Personalize with a name or meaningful text for a unique touch Made with excellent quality polypropylene and low pile for easy cleaning Reinforced serged edges contribute to durab","rectangular black rug with large gold Orthodox cross, clean gold border and corner ornaments, size chart, living room mockups, prayer/fireplace scene, anti-slip backing graphic and microfiber memory foam detail; HTTP 200; canonical=https://chillgen.com/products/personalized-orthodox-christian-area-rug-custom-eastern-design-104; product type=Rug; variants=4; images=8.",8,8,B016-159-IMG01; B016-159-IMG02; B016-159-IMG03; B016-159-IMG04; B016-159-IMG05; B016-159-IMG06; B016-159-IMG07; B016-159-IMG08,https://www.etsy.com/market/christian_prayer_rug; https://www.etsy.com/market/eastern_orthodox_prayer_rug; https://www.etsy.com/market/religious_icon_rug; https://www.amazon.com/orthodox-christian-prayer-rug/s?k=orthodox+christian+prayer+rug; https://www.walmart.com/ip/3D-Optical-Illusion-Halloween-Round-Rug-Funny-Pumpkin-Skeleton-Ghost-Pattern-Non-Slip-Circular-Floor-Mat-Holiday-Decorative-Area-Carpet-For-Entryway/20876518947; https://www.ebay.com/itm/398303951687; https://chillgen.com/,B016-159-BR01,None observed in public data; admin values unknown.,DRAFTED,"MEDIUM: rendered page, product JSON, and images verified; keyword demand has SERP-only evidence and no volume data.",product facts=B016_products.json and B016_pages HTML; visuals=B016 local images/contact sheets; keyword context=SERP references.,motif and visible product context to title/meta/alt; care/backing/material only where page/image evidence supports.
B016-160,https://chillgen.com/products/personalized-orthodox-christian-area-rug-custom-eastern-design-105,2026-09-07T02:59:39+07:00,https://chillgen.com/products/personalized-orthodox-christian-area-rug-custom-eastern-design-105; evidence/products/B016_products.json; seo_runs/chillgen.com/chillgen_20260907_01/evidence/products/B016_pages/personalized-orthodox-christian-area-rug-custom-eastern-design-105.html; https://www.etsy.com/market/christian_prayer_rug; https://www.etsy.com/market/eastern_orthodox_prayer_rug; https://www.etsy.com/market/religious_icon_rug; https://www.amazon.com/orthodox-christian-prayer-rug/s?k=orthodox+christian+prayer+rug; https://www.walmart.com/ip/3D-Optical-Illusion-Halloween-Round-Rug-Funny-Pumpkin-Skeleton-Ghost-Pattern-Non-Slip-Circular-Floor-Mat-Holiday-Decorative-Area-Carpet-For-Entryway/20876518947; https://www.ebay.com/itm/398303951687; https://chillgen.com/,"Personalized Orthodox Christian Area Rug, Custom Eastern - Design 105","Personalized Orthodox Christian Area Rug, – - Design 105","This area rug features the traditional Eastern Orthodox three-bar cross, symbolizing Christ's crucifixion and Orthodox Christian faith. It offers a meaningful design rooted in Byzantine tradition, making it a special addition to any home. The rug can be personalized with a name or text, serving as a thoughtful religious accent or gift. Product Highlights Features a traditional Eastern Orthodox three-bar cross design. Customizable with a name or meaningful text. Offers a comfortable feel for various rooms. Equipped with non-slip features for stability. Suitable for diverse indoor settings. Spec","rectangular navy blue rug with gold Orthodox cross outline, ornate gold border and floral corners, size guide, living room mockups, prayer/fireplace scene, anti-slip backing graphic and close-up microfiber memory foam detail; HTTP 200; canonical=https://chillgen.com/products/personalized-orthodox-christian-area-rug-custom-eastern-design-105; product type=Rug; variants=4; images=8.",8,8,B016-160-IMG01; B016-160-IMG02; B016-160-IMG03; B016-160-IMG04; B016-160-IMG05; B016-160-IMG06; B016-160-IMG07; B016-160-IMG08,https://www.etsy.com/market/christian_prayer_rug; https://www.etsy.com/market/eastern_orthodox_prayer_rug; https://www.etsy.com/market/religious_icon_rug; https://www.amazon.com/orthodox-christian-prayer-rug/s?k=orthodox+christian+prayer+rug; https://www.walmart.com/ip/3D-Optical-Illusion-Halloween-Round-Rug-Funny-Pumpkin-Skeleton-Ghost-Pattern-Non-Slip-Circular-Floor-Mat-Holiday-Decorative-Area-Carpet-For-Entryway/20876518947; https://www.ebay.com/itm/398303951687; https://chillgen.com/,B016-160-BR01,None observed in public data; admin values unknown.,DRAFTED,"MEDIUM: rendered page, product JSON, and images verified; keyword demand has SERP-only evidence and no volume data.",product facts=B016_products.json and B016_pages HTML; visuals=B016 local images/contact sheets; keyword context=SERP references.,motif and visible product context to title/meta/alt; care/backing/material only where page/image evidence supports.
