evidence_id,shop_domain,Handle,product_id,media_id,image_location,image_number,variant,image_url,image_url_export,identity_status,shared_media_references,viewed_status,viewed_at,observed_visual_details,alt_current,alt_proposed,alt_action,review_status,revision,approved_by,approved_at,approved_fields,approved_revision,evidence_file_or_reference,issues
B040-391,chillgen.com,celtic-tree-of-life-welcome-mat-5798e850b0,15913349316977,80878480982385,GALLERY_PUBLIC_CDN,1,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/9e11d11f275a66f4cfe6a4c8451e1160d836d7affe4676fa12c4e958a47cfd7c.jpg?v=1784385135,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:46:29+07:00,sunset Celtic Tree of Life rug patio view,,sunset Celtic Tree of Life rug patio view,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B040/celtic-tree-of-life-welcome-mat-5798e850b0__img_01.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B040-391,chillgen.com,celtic-tree-of-life-welcome-mat-5798e850b0,15913349316977,80878481015153,GALLERY_PUBLIC_CDN,2,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/f7e3d66f2023d29fb5121dd39c10ef446bbb49d476aaa196a75c230b2ce7b05d.jpg?v=1784385135,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:46:29+07:00,Celtic Tree rug size chart,,Celtic Tree rug size chart,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B040/celtic-tree-of-life-welcome-mat-5798e850b0__img_02.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B040-391,chillgen.com,celtic-tree-of-life-welcome-mat-5798e850b0,15913349316977,80878481047921,GALLERY_PUBLIC_CDN,3,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/434620f30ef15eae87dffd020d7345747c828bf2b042555dd63aa3ddabd890f6.jpg?v=1784385140,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:46:29+07:00,microfiber surface Celtic rug detail,,microfiber surface Celtic rug detail,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B040/celtic-tree-of-life-welcome-mat-5798e850b0__img_03.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B040-391,chillgen.com,celtic-tree-of-life-welcome-mat-5798e850b0,15913349316977,80878481080689,GALLERY_PUBLIC_CDN,4,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/3ed8d2338380fde022c709acc898c1a72d05fc9f75584b9b8e6d93c8d7ca638d.jpg?v=1784385141,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:46:29+07:00,anti-slip backing and stain resistance panel,,anti-slip backing and stain resistance panel,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B040/celtic-tree-of-life-welcome-mat-5798e850b0__img_04.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B040-391,chillgen.com,celtic-tree-of-life-welcome-mat-5798e850b0,15913349316977,80878481113457,GALLERY_PUBLIC_CDN,5,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/8a1b0f71a5d547e8b1d9ed0c6913bc9b245a766d78d484c53692352c6d64b76c.jpg?v=1784385146,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:46:29+07:00,sunset Tree of Life rug in living room,,sunset Tree of Life rug in living room,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B040/celtic-tree-of-life-welcome-mat-5798e850b0__img_05.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B040-391,chillgen.com,celtic-tree-of-life-welcome-mat-5798e850b0,15913349316977,80878481146225,GALLERY_PUBLIC_CDN,6,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/e80540660216a22ce6b028dc7bcdb915c6b8a8f671f2c1770c3bf2b27d0f9189.jpg?v=1784385146,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:46:29+07:00,Celtic tree rug room mockup,,Celtic tree rug room mockup,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B040/celtic-tree-of-life-welcome-mat-5798e850b0__img_06.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B040-391,chillgen.com,celtic-tree-of-life-welcome-mat-5798e850b0,15913349316977,80878481178993,GALLERY_PUBLIC_CDN,7,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/390ba07ffcac7a856185f5190cf2f5aada68224e0db0507c8c8604a6829832f8.jpg?v=1784385151,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:46:29+07:00,Tree of Life rug beside sofa,,Tree of Life rug beside sofa,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B040/celtic-tree-of-life-welcome-mat-5798e850b0__img_07.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B040-391,chillgen.com,celtic-tree-of-life-welcome-mat-5798e850b0,15913349316977,80878481211761,GALLERY_PUBLIC_CDN,8,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/c37542f609334c2d5bc6328ccc9e699cad191bb4f94599ad3d794c2d86e15ad3.jpg?v=1784385152,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:46:29+07:00,sunset Celtic rug by fireplace,,sunset Celtic rug by fireplace,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B040/celtic-tree-of-life-welcome-mat-5798e850b0__img_08.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B040-392,chillgen.com,tree-of-life-celtic-indoor-rug-89f894eb42,15913349742961,80878482719089,GALLERY_PUBLIC_CDN,1,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/f8528e02187af1b2dc26d0508ebd86700cd1ceccf019efbc2fb113c22ddb48e7.jpg?v=1784385112,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:46:29+07:00,abstract rainbow Tree of Life rug patio view,,abstract rainbow Tree of Life rug patio view,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B040/tree-of-life-celtic-indoor-rug-89f894eb42__img_01.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B040-392,chillgen.com,tree-of-life-celtic-indoor-rug-89f894eb42,15913349742961,80878482751857,GALLERY_PUBLIC_CDN,2,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/44998cf43e8cf894557a7c313115e4451a969eb024b1b3eb56e32bc23b60eb28.jpg?v=1784385112,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:46:29+07:00,colorful Tree of Life rug size chart,,colorful Tree of Life rug size chart,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B040/tree-of-life-celtic-indoor-rug-89f894eb42__img_02.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B040-392,chillgen.com,tree-of-life-celtic-indoor-rug-89f894eb42,15913349742961,80878482784625,GALLERY_PUBLIC_CDN,3,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/9a5c38e2c2dd0724437de8067db92d06eacc72fb12e044d92710bf2c111ae675.jpg?v=1784385118,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:46:29+07:00,microfiber rainbow tree rug detail,,microfiber rainbow tree rug detail,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B040/tree-of-life-celtic-indoor-rug-89f894eb42__img_03.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
