evidence_id,shop_domain,Handle,product_id,media_id,image_location,image_number,variant,image_url,image_url_export,identity_status,shared_media_references,viewed_status,viewed_at,observed_visual_details,alt_current,alt_proposed,alt_action,review_status,revision,approved_by,approved_at,approved_fields,approved_revision,evidence_file_or_reference,issues
B027-261,chillgen.com,personalized-orthodox-doormat-with-christian-cross-and-eagle-6be5c719a3-6be5c719a3,15913316024689,80878279393649,GALLERY_PUBLIC_CDN,1,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/df2b916362b262be669ca9219a4107a8516228e646b888ce94e2e63b0d63b93b.jpg?v=1784383683,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:47:18+07:00,red Orthodox cross rug by sofa,,red Orthodox cross rug by sofa,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B027/personalized-orthodox-doormat-with-christian-cross-and-eagle-6be5c719a3-6be5c719a3__img_01.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B027-261,chillgen.com,personalized-orthodox-doormat-with-christian-cross-and-eagle-6be5c719a3-6be5c719a3,15913316024689,80878279426417,GALLERY_PUBLIC_CDN,2,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/a0a40cd5e550cef864d3bf548c222dbe34a23d00186290a89237f1a7a740dc3c.jpg?v=1784383684,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:47:18+07:00,red Orthodox cross rug size chart,,red Orthodox cross rug size chart,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B027/personalized-orthodox-doormat-with-christian-cross-and-eagle-6be5c719a3-6be5c719a3__img_02.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B027-261,chillgen.com,personalized-orthodox-doormat-with-christian-cross-and-eagle-6be5c719a3-6be5c719a3,15913316024689,80878279459185,GALLERY_PUBLIC_CDN,3,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/31518a90457f861fd3dd213ad68776bce47bcd36130e1db3e7d0d97a0185e36e.jpg?v=1784383689,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:47:18+07:00,gold cross rug on patio,,gold cross rug on patio,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B027/personalized-orthodox-doormat-with-christian-cross-and-eagle-6be5c719a3-6be5c719a3__img_03.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B027-261,chillgen.com,personalized-orthodox-doormat-with-christian-cross-and-eagle-6be5c719a3-6be5c719a3,15913316024689,80878279491953,GALLERY_PUBLIC_CDN,4,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/3f96f28b7fcd20cda27395a6b38db398b635beb6f29d3b163eab4d65f484b787.jpg?v=1784383689,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:47:18+07:00,red Orthodox rug by fireplace,,red Orthodox rug by fireplace,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B027/personalized-orthodox-doormat-with-christian-cross-and-eagle-6be5c719a3-6be5c719a3__img_04.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B027-261,chillgen.com,personalized-orthodox-doormat-with-christian-cross-and-eagle-6be5c719a3-6be5c719a3,15913316024689,80878279524721,GALLERY_PUBLIC_CDN,5,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/ef8102f7fc3babb8ced04c0a903ca02349ba4254028d0aa8b6a9ffaf0ecb014e.jpg?v=1784383694,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:47:18+07:00,red cross rug in living room,,red cross rug in living room,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B027/personalized-orthodox-doormat-with-christian-cross-and-eagle-6be5c719a3-6be5c719a3__img_05.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B027-261,chillgen.com,personalized-orthodox-doormat-with-christian-cross-and-eagle-6be5c719a3-6be5c719a3,15913316024689,80878279557489,GALLERY_PUBLIC_CDN,6,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/cda35717e00a14a5e472f3945f42f62601cfe9672cdaad40cd71a6305a845860.jpg?v=1784383695,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:47:18+07:00,microfiber cushion closeup for red cross rug,,microfiber cushion closeup for red cross rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B027/personalized-orthodox-doormat-with-christian-cross-and-eagle-6be5c719a3-6be5c719a3__img_06.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B027-261,chillgen.com,personalized-orthodox-doormat-with-christian-cross-and-eagle-6be5c719a3-6be5c719a3,15913316024689,80878279590257,GALLERY_PUBLIC_CDN,7,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/9cd8c71637bdaa7384344e92f9aeb35a42f008fca7b4cdbff159324b8c2e29ae.jpg?v=1784383700,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:47:18+07:00,anti-slip backing detail for Orthodox rug,,anti-slip backing detail for Orthodox rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B027/personalized-orthodox-doormat-with-christian-cross-and-eagle-6be5c719a3-6be5c719a3__img_07.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B027-261,chillgen.com,personalized-orthodox-doormat-with-christian-cross-and-eagle-6be5c719a3-6be5c719a3,15913316024689,80878279623025,GALLERY_PUBLIC_CDN,8,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/f152f0763309ea1b3fa4f7a227ad50b1b594f460fb8b86d2d171dfc79f7bd2c4.jpg?v=1784383700,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:47:18+07:00,red Orthodox cross rug quiet room scene,,red Orthodox cross rug quiet room scene,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B027/personalized-orthodox-doormat-with-christian-cross-and-eagle-6be5c719a3-6be5c719a3__img_08.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B027-262,chillgen.com,personalized-orthodox-christian-area-rug-00beb8fce2,15913316188529,80878280606065,GALLERY_PUBLIC_CDN,1,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/22edcf97fc34d42f20cd69b99d62402b071ae20d1c70bd5591e127fb73656a21.jpg?v=1784383662,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:47:18+07:00,floral Orthodox cross rug by sofa,,floral Orthodox cross rug by sofa,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B027/personalized-orthodox-christian-area-rug-00beb8fce2__img_01.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B027-262,chillgen.com,personalized-orthodox-christian-area-rug-00beb8fce2,15913316188529,80878280638833,GALLERY_PUBLIC_CDN,2,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/67c186f649262e8db94baf75fd2d2905b230a5a0662bba4c76d717ceca7b78cd.jpg?v=1784383662,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:47:18+07:00,red floral cross rug size chart,,red floral cross rug size chart,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B027/personalized-orthodox-christian-area-rug-00beb8fce2__img_02.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B027-262,chillgen.com,personalized-orthodox-christian-area-rug-00beb8fce2,15913316188529,80878280671601,GALLERY_PUBLIC_CDN,3,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/af5af0d5661c2895b29b2d51a4f88291ebaa9495956b7458ccc79ed53b293414.jpg?v=1784383667,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:47:18+07:00,gold Orthodox cross rug by fireplace,,gold Orthodox cross rug by fireplace,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B027/personalized-orthodox-christian-area-rug-00beb8fce2__img_03.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
